Filename	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-60.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\0.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\60.mcc
Date	07-Oct-2010 14:08:35	07-Oct-2010 14:09:18	07-Oct-2010 14:09:52	07-Oct-2010 14:10:21	07-Oct-2010 14:11:15	07-Oct-2010 14:11:48	07-Oct-2010 14:12:25	07-Oct-2010 14:12:58	07-Oct-2010 14:13:30	07-Oct-2010 14:13:56	07-Oct-2010 14:14:26	07-Oct-2010 14:14:59	07-Oct-2010 14:15:24	07-Oct-2010 14:15:51	07-Oct-2010 14:16:20	07-Oct-2010 14:16:46	07-Oct-2010 14:17:27	07-Oct-2010 14:17:57	07-Oct-2010 14:18:28	07-Oct-2010 14:18:55	07-Oct-2010 14:19:34	07-Oct-2010 14:20:08	07-Oct-2010 14:20:30	07-Oct-2010 14:20:58	07-Oct-2010 14:21:31	07-Oct-2010 14:21:59	07-Oct-2010 14:22:25	07-Oct-2010 14:22:52	07-Oct-2010 14:23:21	07-Oct-2010 14:23:54	07-Oct-2010 14:24:24	07-Oct-2010 14:24:51	07-Oct-2010 14:25:35	07-Oct-2010 14:26:03	07-Oct-2010 14:26:48	07-Oct-2010 14:27:21	07-Oct-2010 14:27:47	07-Oct-2010 14:28:16	07-Oct-2010 14:28:43	07-Oct-2010 14:29:15	07-Oct-2010 14:29:44
Linac	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4
Modality	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
Energy	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00
Gantry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coll.	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
IP Field	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
CP Field	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Device	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK	STARCHECK
Device #																																									
AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB	AB
FWHM Field (mm)	100.567	100.571	100.576	100.573	100.569	100.577	100.572	100.572	100.575	100.578	100.581	100.586	100.583	100.587	100.581	100.584	100.583	100.584	100.587	100.590	100.595	100.585	100.589	100.593	100.593	100.591	100.589	100.589	100.592	100.587	100.591	100.583	100.589	100.584	100.590	100.587	100.585	100.588	100.585	100.579	100.582
Infl Field (mm)	100.093	100.097	100.097	100.095	100.091	100.097	100.089	100.090	100.090	100.092	100.093	100.095	100.094	100.094	100.094	100.089	100.087	100.089	100.090	100.095	100.096	100.092	100.092	100.090	100.095	100.093	100.092	100.096	100.094	100.088	100.092	100.088	100.088	100.092	100.092	100.088	100.093	100.090	100.095	100.093	100.099
FWHM CAX (mm)	-0.340	-0.328	-0.326	-0.324	-0.318	-0.314	-0.321	-0.313	-0.311	-0.314	-0.311	-0.310	-0.308	-0.304	-0.303	-0.298	-0.296	-0.294	-0.299	-0.296	-0.298	-0.294	-0.291	-0.290	-0.283	-0.281	-0.282	-0.276	-0.272	-0.273	-0.270	-0.269	-0.265	-0.262	-0.265	-0.264	-0.262	-0.259	-0.257	-0.256	-0.251
Infl CAX (mm)	-0.343	-0.329	-0.326	-0.325	-0.320	-0.317	-0.324	-0.315	-0.313	-0.317	-0.314	-0.313	-0.313	-0.306	-0.306	-0.303	-0.300	-0.298	-0.302	-0.300	-0.302	-0.297	-0.294	-0.294	-0.288	-0.285	-0.287	-0.280	-0.276	-0.277	-0.275	-0.274	-0.270	-0.267	-0.271	-0.269	-0.267	-0.264	-0.263	-0.262	-0.256
Flat (IEC)	103.594	103.632	103.487	103.621	103.604	103.579	103.602	103.532	103.587	103.627	103.546	103.567	103.577	103.628	103.605	103.462	103.482	103.451	103.467	103.501	103.504	103.498	103.473	103.493	103.487	103.439	103.578	103.546	103.449	103.447	103.428	103.512	103.493	103.526	103.540	103.517	103.519	103.459	103.599	103.483	103.646
Sym (IEC)	100.915	101.002	101.004	100.989	100.956	100.946	100.999	101.008	100.952	100.965	101.021	100.970	101.022	100.967	100.931	100.999	100.947	101.029	100.966	101.002	100.991	100.982	101.035	101.046	101.027	100.997	101.037	100.947	100.993	101.047	100.990	100.948	100.958	100.969	101.064	100.978	100.994	100.953	100.984	100.980	101.009
Sym (Int)	-0.312	-0.317	-0.330	-0.327	-0.314	-0.338	-0.330	-0.347	-0.335	-0.352	-0.341	-0.339	-0.406	-0.349	-0.338	-0.348	-0.345	-0.338	-0.371	-0.353	-0.365	-0.363	-0.361	-0.354	-0.344	-0.322	-0.357	-0.337	-0.350	-0.336	-0.335	-0.335	-0.321	-0.332	-0.333	-0.321	-0.334	-0.323	-0.330	-0.318	-0.321
Sym 20%	100.031	100.071	100.156	100.085	100.071	100.128	100.105	100.113	100.111	100.086	100.063	100.041	100.143	100.114	100.159	100.137	100.139	100.049	100.155	100.131	100.151	100.125	100.114	100.064	100.067	100.080	100.111	100.110	100.134	100.118	100.095	100.057	100.037	100.075	100.017	100.018	100.048	100.004	100.020	100.000	100.013
Sym 50%	100.165	100.148	100.178	100.137	100.166	100.153	100.175	100.223	100.198	100.179	100.181	100.196	100.275	100.178	100.173	100.171	100.156	100.232	100.242	100.251	100.180	100.250	100.199	100.165	100.172	100.159	100.198	100.213	100.193	100.180	100.193	100.125	100.199	100.160	100.189	100.212	100.218	100.206	100.193	100.232	100.190
Sym 60%	100.915	101.002	101.004	100.989	100.956	100.946	100.999	101.008	100.952	100.965	101.021	100.970	101.022	100.967	100.931	100.999	100.947	101.029	100.966	101.002	100.991	100.970	101.035	101.046	101.027	100.997	101.003	100.947	100.993	101.047	100.990	100.948	100.921	100.934	101.064	100.978	100.994	100.946	100.984	100.980	101.009
