08-08-17 15:31:02

Radiation device:	U04 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	400 x 400 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	DiagonalMmPp
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
-240.9	-240.7	50.0	2.5	7070	3.1
-240.4	-240.5	50.0	3.0	8335	3.6
-239.8	-240.0	50.0	3.0	8290	3.6
-239.4	-239.6	50.0	3.1	8659	3.8
-239.1	-239.2	50.0	3.1	8696	3.8
-238.8	-238.9	50.0	3.2	9056	4.0
-238.5	-238.5	50.0	3.2	8985	3.9
-238.2	-238.2	50.0	3.2	9094	4.0
-237.8	-237.9	50.0	3.3	9143	4.0
-237.4	-237.5	50.0	3.3	9137	4.0
-237.1	-237.1	50.0	3.3	9352	4.1
-236.7	-236.8	50.0	3.4	9592	4.2
-236.4	-236.4	50.0	3.3	9381	4.1
-236.0	-236.0	50.0	3.4	9594	4.2
-235.7	-235.7	50.0	3.5	9795	4.3
-235.3	-235.3	50.0	3.5	9858	4.3
-234.9	-235.0	50.0	3.5	9844	4.3
-234.6	-234.6	50.0	3.6	10011	4.4
-234.2	-234.3	50.0	3.6	10227	4.5
-233.9	-233.9	50.0	3.6	10252	4.5
-233.6	-233.5	50.0	3.7	10359	4.5
-233.2	-233.2	50.0	3.8	10570	4.6
-232.8	-232.8	50.0	3.8	10540	4.6
-232.5	-232.5	50.0	3.8	10718	4.7
-232.1	-232.1	50.0	3.8	10620	4.7
-231.7	-231.8	50.0	3.9	10837	4.7
-231.4	-231.4	50.0	3.8	10773	4.7
-231.0	-231.1	50.0	3.9	11044	4.8
-230.7	-230.7	50.0	3.9	11062	4.8
-230.3	-230.3	50.0	4.0	11235	4.9
-230.0	-230.0	50.0	4.0	11242	4.9
-229.6	-229.6	50.0	4.1	11517	5.0
-229.2	-229.3	50.0	4.1	11573	5.1
-228.9	-228.9	50.0	4.2	11818	5.2
-228.5	-228.6	50.0	4.2	11673	5.1
-228.2	-228.2	50.0	4.2	11814	5.2
-227.8	-227.8	50.0	4.3	11942	5.2
-227.5	-227.5	50.0	4.3	12022	5.2
-227.2	-227.2	50.0	4.3	12158	5.3
-226.8	-226.8	50.0	4.4	12434	5.4
-226.4	-226.4	50.0	4.4	12498	5.5
-226.1	-226.1	50.0	4.5	12598	5.5
-225.7	-225.7	50.0	4.5	12749	5.6
-225.3	-225.4	50.0	4.6	12796	5.6
-225.0	-225.0	50.0	4.6	12921	5.6
-224.6	-224.6	50.0	4.7	13069	5.7
-224.3	-224.3	50.0	4.7	13257	5.8
-223.9	-223.9	50.0	4.8	13367	5.8
-223.6	-223.6	50.0	4.8	13490	5.9
-223.2	-223.2	50.0	4.8	13593	5.9
-222.8	-222.9	50.0	4.8	13581	5.9
-222.5	-222.5	50.0	4.9	13702	6.0
-222.1	-222.1	50.0	4.9	13867	6.0
-221.7	-221.8	50.0	5.1	14322	6.3
-221.4	-221.4	50.0	5.1	14270	6.2
-221.1	-221.1	50.0	5.1	14383	6.3
-220.7	-220.7	50.0	5.2	14741	6.4
-220.3	-220.4	50.0	5.2	14660	6.4
-220.0	-220.0	50.0	5.3	14847	6.5
-219.6	-219.6	50.0	5.4	15084	6.6
-219.3	-219.3	50.0	5.5	15470	6.7
-218.9	-218.9	50.0	5.5	15508	6.7
-218.5	-218.6	50.0	5.5	15494	6.8
-218.2	-218.2	50.0	5.6	15607	6.8
-217.8	-217.9	50.0	5.6	15799	6.9
-217.5	-217.5	50.0	5.7	15956	6.9
-217.1	-217.1	50.0	5.7	15921	6.9
-216.8	-216.8	50.0	5.8	16331	7.1
-216.4	-216.4	50.0	5.8	16338	7.1
-216.0	-216.1	50.0	5.9	16448	7.2
-215.7	-215.7	50.0	5.9	16647	7.3
-215.3	-215.3	50.0	6.0	16734	7.3
-215.0	-215.0	50.0	6.0	16905	7.4
-214.6	-214.6	50.0	6.1	17159	7.5
-214.3	-214.3	50.0	6.2	17392	7.6
-213.9	-213.9	50.0	6.3	17576	7.7
-213.5	-213.6	50.0	6.3	17683	7.7
-213.2	-213.2	50.0	6.4	18074	7.9
-212.8	-212.9	50.0	6.4	17980	7.8
-212.5	-212.5	50.0	6.5	18285	20.0
-212.1	-212.1	50.0	6.6	18478	20.0
-211.7	-211.8	50.0	6.6	18554	20.0
-211.4	-211.4	50.0	6.7	18840	8.2
-211.0	-211.1	50.0	6.8	19029	8.3
-210.7	-210.7	50.0	6.7	18941	8.3
-210.3	-210.4	50.0	6.9	19292	8.4
-210.0	-210.0	50.0	7.0	19754	8.6
-209.6	-209.6	50.0	7.0	19659	8.6
-209.3	-209.3	50.0	7.1	19999	8.7
-208.9	-208.9	50.0	7.3	20379	8.9
-208.6	-208.6	50.0	7.3	20486	8.9
-208.2	-208.2	50.0	7.4	20771	9.0
-207.8	-207.9	50.0	7.5	20943	9.1
-207.5	-207.5	50.0	7.5	21090	9.2
-207.1	-207.2	50.0	7.6	21245	9.2
-206.8	-206.8	50.0	7.7	21617	9.4
-206.4	-206.4	50.0	7.7	21685	9.4
-206.1	-206.0	50.0	7.9	22285	9.7
-205.7	-205.7	50.0	8.0	22401	9.7
-205.4	-205.3	50.0	8.1	22724	9.9
-205.0	-205.0	50.0	8.2	22989	10.0
-204.6	-204.6	50.0	8.3	23306	10.1
-204.3	-204.3	50.0	8.4	23576	10.3
-203.9	-203.9	50.0	8.6	24061	10.5
-203.5	-203.5	50.0	8.7	24445	10.7
