08-08-2017 15:32:24

Radiation device:	U04 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	400 x 400 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	DiagonalMpPm
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
237.2	-237.2	50.0	3.7	10406	4.5
236.7	-236.8	50.0	3.8	10566	4.6
236.0	-236.2	50.0	3.9	11034	4.8
235.7	-235.9	50.0	4.0	11116	4.8
235.4	-235.6	50.0	4.0	11144	4.8
235.1	-235.3	50.0	4.0	11103	4.8
234.9	-235.0	50.0	4.0	11308	4.9
234.6	-234.6	50.0	4.0	11330	4.9
234.2	-234.2	50.0	4.1	11457	4.9
233.7	-233.8	50.0	4.0	11378	4.9
233.4	-233.5	50.0	4.1	11490	5.0
233.0	-233.2	50.0	4.1	11539	5.0
232.7	-232.8	50.0	4.2	11841	5.1
232.4	-232.4	50.0	4.2	11910	5.1
232.0	-232.1	50.0	4.2	11886	5.1
231.7	-231.7	50.0	4.3	12056	5.2
231.3	-231.4	50.0	4.3	12091	5.2
230.9	-231.0	50.0	4.4	12239	5.3
230.6	-230.7	50.0	4.4	12431	5.4
230.2	-230.3	50.0	4.4	12452	5.4
229.9	-229.9	50.0	4.4	12455	5.4
229.5	-229.6	50.0	4.5	12657	5.5
229.2	-229.2	50.0	4.6	12788	5.5
228.8	-228.9	50.0	4.7	13136	5.7
228.4	-228.5	50.0	4.7	13206	5.7
228.1	-228.1	50.0	4.7	13281	5.7
227.8	-227.8	50.0	4.7	13136	5.7
227.4	-227.4	50.0	4.8	13489	5.8
227.0	-227.1	50.0	4.8	13604	5.9
226.7	-226.7	50.0	4.9	13748	5.9
226.3	-226.4	50.0	4.9	13775	5.9
226.0	-226.0	50.0	4.9	13811	6.0
225.6	-225.7	50.0	5.0	14040	6.1
225.3	-225.3	50.0	5.1	14234	6.1
224.9	-225.0	50.0	5.1	14277	6.2
224.6	-224.6	50.0	5.2	14472	6.2
224.2	-224.3	50.0	5.2	14600	6.3
223.8	-223.9	50.0	5.2	14578	6.3
223.5	-223.5	50.0	5.2	14679	6.3
223.1	-223.2	50.0	5.3	14885	6.4
222.8	-222.8	50.0	5.4	15117	6.5
222.4	-222.5	50.0	5.4	15280	6.6
222.1	-222.1	50.0	5.5	15321	6.6
221.7	-221.8	50.0	5.5	15577	6.7
221.3	-221.4	50.0	5.5	15575	6.7
221.0	-221.0	50.0	5.6	15623	6.7
220.6	-220.7	50.0	5.6	15830	6.8
220.3	-220.3	50.0	5.7	16023	6.9
219.9	-220.0	50.0	5.7	16115	6.9
219.6	-219.6	50.0	5.7	16086	6.9
219.2	-219.3	50.0	5.8	16411	7.1
218.8	-218.9	50.0	5.8	16401	7.1
218.4	-218.6	50.0	5.8	16402	7.1
218.1	-218.2	50.0	6.0	16747	7.2
217.7	-217.9	50.0	6.0	16904	7.3
217.4	-217.5	50.0	6.0	16990	7.3
217.1	-217.1	50.0	6.1	17222	7.4
216.7	-216.8	50.0	6.2	17346	7.5
216.3	-216.4	50.0	6.2	17545	7.6
216.0	-216.1	50.0	6.3	17719	7.6
215.6	-215.7	50.0	6.3	17690	7.6
215.3	-215.4	50.0	6.4	18013	7.8
