08-08-17 15:02:08

Radiation device:	U04 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	400 x 400 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Crossline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	-230.0	50.0	11.2	31430	9.6
0.0	-229.6	50.0	11.2	31348	9.5
0.0	-228.8	50.0	11.4	32107	9.7
0.0	-228.2	50.0	11.6	32536	9.8
0.0	-227.6	50.0	11.7	32814	9.9
0.0	-227.2	50.0	11.9	33375	10.1
0.0	-226.8	50.0	12.1	33919	10.2
0.0	-226.3	50.0	12.1	33944	10.2
0.0	-225.8	50.0	12.2	34299	10.4
0.0	-225.3	50.0	12.3	34560	10.4
0.0	-224.8	50.0	12.5	35029	10.6
0.0	-224.3	50.0	12.8	35928	10.9
0.0	-223.8	50.0	12.9	36201	10.9
0.0	-223.3	50.0	13.2	37055	11.2
0.0	-222.8	50.0	13.3	37290	11.3
0.0	-222.3	50.0	13.6	38241	11.5
0.0	-221.8	50.0	14.0	39214	11.8
0.0	-221.3	50.0	14.0	39365	11.9
0.0	-220.8	50.0	14.4	40378	12.2
0.0	-220.3	50.0	14.7	41299	12.5
0.0	-220.0	50.0	20.0	43000	20.0
0.0	-219.8	50.0	15.1	42460	12.8
0.0	-219.3	50.0	15.5	43585	13.1
0.0	-218.7	50.0	15.9	44755	13.5
0.0	-218.2	50.0	16.4	46174	14.0
0.0	-217.7	50.0	17.1	47915	14.5
0.0	-217.2	50.0	17.8	49932	15.1
0.0	-216.7	50.0	18.7	52501	15.8
0.0	-216.2	50.0	19.6	55121	16.6
0.0	-215.7	50.0	20.7	58220	17.6
0.0	-215.2	50.0	22.3	62549	18.9
0.0	-214.7	50.0	24.0	67303	20.3
0.0	-214.2	50.0	26.1	73269	22.1
0.0	-213.7	50.0	28.7	80690	24.4
0.0	-213.2	50.0	32.0	89793	27.1
0.0	-212.7	50.0	35.8	100536	30.3
0.0	-212.2	50.0	40.0	112492	33.9
0.0	-211.7	50.0	44.4	124809	37.7
0.0	-211.2	50.0	49.3	138434	41.8
0.0	-210.7	50.0	54.3	152660	46.1
0.0	-210.2	50.0	59.5	167155	50.5
0.0	-209.7	50.0	64.8	181959	54.9
0.0	-209.2	50.0	69.7	195846	59.1
0.0	-208.6	50.0	74.4	209143	63.0
0.0	-208.2	50.0	78.9	221584	66.9
0.0	-207.7	50.0	83.0	233290	70.5
0.0	-207.1	50.0	87.1	244776	73.9
0.0	-206.6	50.0	90.5	254194	76.8
0.0	-206.1	50.0	93.3	262187	79.2
0.0	-205.6	50.0	95.4	267910	80.9
0.0	-205.2	50.0	97.0	272644	82.4
0.0	-204.7	50.0	98.6	276893	83.7
0.0	-204.1	50.0	99.7	280018	84.6
0.0	-203.6	50.0	100.6	282547	85.2
0.0	-203.1	50.0	101.1	284009	85.8
0.0	-202.6	50.0	101.7	285731	86.3
0.0	-202.1	50.0	102.1	286829	86.6
0.0	-201.6	50.0	102.6	288179	87.0
0.0	-201.1	50.0	102.9	289030	87.3
0.0	-200.6	50.0	103.2	289909	87.6
0.0	-200.1	50.0	103.4	290436	87.7
0.0	-199.6	50.0	103.8	291518	88.0
0.0	-199.1	50.0	103.7	291357	88.0
0.0	-198.6	50.0	104.0	292132	88.2
0.0	-198.1	50.0	104.3	293021	88.5
0.0	-197.6	50.0	104.4	293423	88.5
0.0	-197.1	50.0	104.5	293677	88.7
0.0	-196.6	50.0	104.7	294009	88.8
0.0	-196.1	50.0	104.8	294361	88.8
0.0	-195.6	50.0	104.8	294524	88.9
0.0	-195.1	50.0	105.0	295073	89.1
0.0	-194.6	50.0	105.1	295369	89.2
0.0	-194.1	50.0	105.3	295841	89.2
0.0	-193.6	50.0	105.3	295876	89.2
0.0	-193.1	50.0	105.2	295659	89.3
0.0	-192.6	50.0	105.3	295774	89.4
0.0	-192.1	50.0	105.3	295952	89.4
0.0	-191.5	50.0	105.8	297126	89.6
0.0	-191.0	50.0	105.6	296577	89.4
0.0	-190.6	50.0	105.7	297007	89.7
0.0	-190.1	50.0	105.6	296687	89.5
0.0	-189.6	50.0	105.7	296838	89.8
0.0	-189.0	50.0	105.8	297107	89.7
0.0	-188.5	50.0	105.9	297472	89.8
0.0	-188.0	50.0	105.9	297523	89.9
0.0	-187.5	50.0	106.0	297909	90.0
0.0	-187.0	50.0	106.0	297936	90.0
0.0	-186.5	50.0	106.0	297934	90.0
0.0	-186.0	50.0	106.2	298412	90.1
0.0	-185.5	50.0	106.1	297997	90.0
0.0	-185.0	50.0	106.3	298605	90.2
0.0	-184.5	50.0	106.3	298770	90.3
0.0	-184.0	50.0	106.4	298901	90.2
0.0	-183.5	50.0	106.3	298674	90.0
0.0	-183.0	50.0	106.3	298653	90.2
0.0	-182.5	50.0	106.4	298904	90.3
0.0	-182.0	50.0	106.2	298362	90.1
0.0	-181.5	50.0	106.4	298890	90.3
0.0	-181.0	50.0	106.4	299053	90.2
0.0	-180.5	50.0	106.4	298992	90.3
0.0	-180.0	50.0	106.6	299452	90.4
0.0	-179.5	50.0	106.8	299969	90.6
0.0	-178.9	50.0	106.9	300300	90.6
0.0	-178.4	50.0	106.8	300053	90.6
0.0	-177.9	50.0	106.8	300000	90.6
0.0	-177.4	50.0	106.8	300119	90.6
0.0	-176.9	50.0	106.9	300250	90.6
0.0	-176.4	50.0	106.9	300254	90.7
0.0	-175.8	50.0	107.0	300576	90.6
0.0	-175.0	50.0	107.2	301087	90.9
0.0	-174.3	50.0	107.2	301250	91.0
0.0	-173.5	50.0	107.2	301171	90.9
0.0	-172.6	50.0	107.1	300859	90.7
0.0	-172.1	50.0	107.2	301281	90.9
0.0	-171.8	50.0	107.3	301548	90.8
0.0	-171.3	50.0	107.1	300978	90.9
0.0	-170.6	50.0	107.1	300883	90.9
0.0	-170.0	50.0	107.3	301435	91.1
0.0	-169.5	50.0	107.6	302231	91.2
0.0	-168.9	50.0	107.1	300956	90.8
0.0	-168.3	50.0	107.3	301431	90.9
0.0	-167.8	50.0	107.5	301946	91.2
0.0	-167.2	50.0	107.7	302612	91.1
0.0	-166.6	50.0	107.6	302188	91.3
0.0	-166.1	50.0	107.5	302126	91.3
0.0	-165.6	50.0	107.5	301916	91.2
0.0	-165.1	50.0	107.6	302210	91.3
0.0	-164.6	50.0	107.6	302238	91.3
0.0	-164.1	50.0	107.6	302196	91.4
0.0	-163.6	50.0	107.6	302292	91.4
0.0	-163.0	50.0	107.6	302228	91.3
0.0	-162.5	50.0	107.7	302629	91.3
0.0	-162.0	50.0	107.6	302310	91.2
0.0	-161.5	50.0	107.8	302773	91.3
0.0	-161.0	50.0	108.1	303570	91.6
0.0	-160.5	50.0	107.6	302381	91.2
0.0	-159.9	50.0	107.6	302285	91.1
0.0	-159.4	50.0	107.8	302838	91.3
0.0	-158.9	50.0	108.0	303341	91.5
0.0	-158.4	50.0	107.8	302944	91.4
0.0	-157.9	50.0	108.0	303280	91.4
0.0	-157.4	50.0	107.9	303220	91.7
0.0	-156.9	50.0	107.9	303019	91.5
0.0	-156.3	50.0	107.8	302879	91.6
0.0	-155.8	50.0	107.7	302482	91.3
0.0	-155.2	50.0	107.9	303086	91.5
0.0	-154.7	50.0	107.8	302842	91.4
0.0	-154.2	50.0	107.9	303126	91.6
0.0	-153.7	50.0	108.0	303372	91.8
0.0	-153.1	50.0	107.9	303096	91.7
0.0	-152.6	50.0	107.8	302992	91.6
0.0	-152.1	50.0	107.7	302640	91.5
0.0	-151.6	50.0	108.2	303851	91.7
0.0	-151.1	50.0	108.1	303610	91.7
0.0	-150.6	50.0	107.9	303193	91.5
0.0	-150.1	50.0	107.8	302755	91.4
0.0	-149.6	50.0	107.8	302832	91.4
0.0	-149.0	50.0	107.9	303207	91.6
0.0	-148.5	50.0	107.8	302880	91.5
0.0	-148.0	50.0	107.7	302536	91.4
0.0	-147.5	50.0	107.8	302847	91.5
0.0	-147.0	50.0	107.9	303058	91.5
0.0	-146.4	50.0	107.8	302940	91.5
0.0	-145.9	50.0	107.8	302859	91.4
0.0	-145.4	50.0	107.8	302809	91.4
0.0	-144.9	50.0	107.8	302913	91.5
0.0	-144.4	50.0	107.5	302031	91.2
0.0	-143.8	50.0	107.7	302655	91.4
0.0	-143.3	50.0	107.8	302840	91.4
0.0	-142.8	50.0	107.7	302673	91.3
0.0	-142.3	50.0	107.9	303023	91.3
0.0	-141.7	50.0	107.6	302326	91.3
0.0	-141.2	50.0	107.7	302494	91.3
0.0	-140.7	50.0	107.5	302023	91.2
0.0	-140.2	50.0	107.2	301262	90.9
0.0	-139.6	50.0	107.7	302453	91.3
0.0	-139.1	50.0	107.5	302036	91.0
0.0	-138.6	50.0	107.5	302101	91.2
0.0	-138.1	50.0	107.6	302286	91.3
0.0	-137.6	50.0	107.6	302320	91.4
0.0	-137.0	50.0	107.5	301871	91.1
0.0	-136.5	50.0	107.7	302515	91.3
0.0	-136.0	50.0	107.8	302835	91.4
0.0	-135.5	50.0	107.5	302049	91.1
0.0	-135.0	50.0	107.0	300682	90.8
