08-08-17 15:01:17

Radiation device:	U04 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	400 x 400 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Inline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
-230.0	0.0	50.0	9.3	26202	8.0
-230.0	0.0	50.0	9.3	26202	8.0
-229.5	0.0	50.0	9.4	26507	8.1
-228.6	0.0	50.0	9.7	27348	8.3
-228.1	0.0	50.0	9.9	27676	8.4
-227.6	0.0	50.0	10.0	27968	8.5
-227.2	0.0	50.0	10.1	28369	8.6
-226.8	0.0	50.0	10.1	28378	8.6
-226.3	0.0	50.0	10.3	28944	8.8
-225.7	0.0	50.0	10.4	29300	8.9
-225.2	0.0	50.0	10.4	29303	8.9
-224.7	0.0	50.0	10.7	29940	9.1
-224.2	0.0	50.0	10.8	30401	9.2
-223.7	0.0	50.0	10.9	30699	9.3
-223.2	0.0	50.0	11.2	31423	9.6
-222.7	0.0	50.0	11.3	31825	9.7
-222.2	0.0	50.0	11.5	32244	9.8
-221.7	0.0	50.0	11.7	32827	10.0
-221.2	0.0	50.0	11.8	33115	10.1
-220.7	0.0	50.0	12.0	33787	10.3
-220.2	0.0	50.0	12.3	34542	10.5
-220.0	0.0	50.0	20.0	56000	20.0
-219.7	0.0	50.0	12.4	34868	10.6
-219.2	0.0	50.0	12.7	35702	10.9
-218.7	0.0	50.0	13.0	36572	11.1
-218.1	0.0	50.0	13.3	37267	11.3
-217.6	0.0	50.0	13.6	38215	11.6
-217.2	0.0	50.0	13.9	39050	11.9
-216.7	0.0	50.0	14.3	40146	12.2
-216.1	0.0	50.0	14.8	41490	12.6
-215.7	0.0	50.0	15.3	42944	13.0
-215.1	0.0	50.0	15.9	44727	13.6
-214.6	0.0	50.0	16.7	46815	14.2
-214.1	0.0	50.0	17.5	49271	15.0
-213.6	0.0	50.0	18.6	52280	15.9
-213.1	0.0	50.0	20.1	56427	17.2
-212.6	0.0	50.0	22.1	62195	18.9
-212.1	0.0	50.0	24.8	69635	21.2
-211.6	0.0	50.0	28.0	78595	23.9
-211.1	0.0	50.0	31.4	88320	26.8
-210.6	0.0	50.0	35.1	98520	29.9
-210.1	0.0	50.0	38.9	109401	33.3
-209.6	0.0	50.0	43.3	121577	37.0
-209.1	0.0	50.0	48.2	135468	41.2
-208.6	0.0	50.0	54.0	151610	46.1
-208.1	0.0	50.0	59.8	168111	51.0
-207.6	0.0	50.0	65.5	183881	55.9
-207.1	0.0	50.0	70.9	199142	60.5
-206.6	0.0	50.0	76.3	214252	65.2
-206.0	0.0	50.0	81.7	229648	69.8
-205.6	0.0	50.0	86.3	242484	73.6
-205.0	0.0	50.0	90.1	253091	76.8
-204.5	0.0	50.0	93.2	261897	79.5
-204.0	0.0	50.0	95.3	267735	81.4
-203.5	0.0	50.0	97.4	273641	83.2
-203.0	0.0	50.0	98.7	277288	84.3
-202.5	0.0	50.0	99.4	279311	84.9
-202.0	0.0	50.0	100.1	281285	85.4
-201.5	0.0	50.0	100.8	283049	85.9
-201.0	0.0	50.0	101.2	284246	86.4
-200.5	0.0	50.0	101.8	286039	86.9
-200.0	0.0	50.0	102.1	286709	87.2
-199.5	0.0	50.0	102.4	287794	87.5
-199.0	0.0	50.0	102.8	288691	87.7
-198.5	0.0	50.0	103.2	289809	88.0
-198.0	0.0	50.0	103.4	290567	88.2
-197.5	0.0	50.0	103.4	290378	88.2
-197.0	0.0	50.0	103.4	290570	88.4
-196.5	0.0	50.0	104.0	292161	88.7
-196.0	0.0	50.0	103.7	291297	88.6
-195.5	0.0	50.0	104.0	292170	88.8
-194.9	0.0	50.0	104.2	292746	88.9
-194.4	0.0	50.0	104.3	292948	89.1
-193.9	0.0	50.0	104.4	293411	89.1
-193.4	0.0	50.0	104.7	294023	89.2
-192.9	0.0	50.0	104.6	293747	89.1
-192.4	0.0	50.0	104.8	294351	89.2
-191.9	0.0	50.0	104.6	293990	89.3
-191.4	0.0	50.0	104.9	294747	89.5
-190.9	0.0	50.0	104.8	294461	89.4
-190.4	0.0	50.0	104.9	294709	89.5
-189.9	0.0	50.0	105.1	295146	89.7
-189.4	0.0	50.0	105.0	294985	89.7
-188.9	0.0	50.0	105.1	295253	89.8
-188.4	0.0	50.0	105.3	295689	89.8
-187.9	0.0	50.0	105.4	296121	89.9
-187.4	0.0	50.0	105.6	296585	89.9
-186.9	0.0	50.0	105.3	295787	89.8
-186.3	0.0	50.0	105.3	295798	89.8
-185.9	0.0	50.0	105.5	296350	90.0
-185.4	0.0	50.0	105.7	296930	90.1
-184.9	0.0	50.0	105.7	297042	90.2
-184.3	0.0	50.0	105.9	297511	90.4
-183.9	0.0	50.0	105.7	297035	90.2
-183.3	0.0	50.0	105.7	296961	90.2
-182.8	0.0	50.0	105.7	296901	90.2
-182.3	0.0	50.0	106.0	297912	90.4
-181.8	0.0	50.0	105.9	297629	90.4
-181.3	0.0	50.0	106.3	298775	90.7
-180.8	0.0	50.0	106.0	297885	90.4
-180.3	0.0	50.0	106.1	298139	90.5
-179.8	0.0	50.0	106.3	298511	90.8
-179.3	0.0	50.0	105.9	297628	90.4
-178.8	0.0	50.0	106.1	298216	90.5
-178.3	0.0	50.0	106.1	298135	90.5
-177.8	0.0	50.0	106.2	298311	90.6
-177.4	0.0	50.0	106.3	298527	90.6
-176.8	0.0	50.0	106.5	299207	90.8
-176.3	0.0	50.0	106.4	298854	90.7
-175.8	0.0	50.0	106.2	298382	90.6
-175.0	0.0	50.0	106.3	298570	90.5
-174.2	0.0	50.0	106.5	299196	90.7
-173.1	0.0	50.0	106.6	299413	90.9
-172.7	0.0	50.0	106.6	299342	90.9
-172.4	0.0	50.0	106.8	299916	91.1
-171.8	0.0	50.0	106.8	299971	91.1
-171.2	0.0	50.0	106.8	300000	91.1
-170.6	0.0	50.0	106.6	299491	91.1
-170.0	0.0	50.0	106.9	300201	91.1
-169.4	0.0	50.0	107.0	300714	91.3
-168.8	0.0	50.0	107.0	300472	91.5
-168.2	0.0	50.0	107.0	300699	91.4
-167.7	0.0	50.0	107.2	301177	91.4
-167.0	0.0	50.0	107.1	300805	91.3
-166.4	0.0	50.0	107.1	301020	91.3
-165.9	0.0	50.0	107.2	301054	91.3
-165.3	0.0	50.0	107.2	301206	91.5
-164.7	0.0	50.0	107.7	302634	91.9
-164.1	0.0	50.0	107.6	302182	91.8
-163.6	0.0	50.0	107.4	301654	91.6
-163.1	0.0	50.0	107.2	301047	91.3
-162.6	0.0	50.0	107.2	301266	91.4
-162.1	0.0	50.0	107.5	301960	91.7
-161.7	0.0	50.0	107.7	302624	91.8
-161.3	0.0	50.0	107.7	302505	91.8
-160.8	0.0	50.0	107.3	301418	91.6
-160.4	0.0	50.0	107.5	302049	91.6
-159.9	0.0	50.0	107.5	301971	91.5
-159.5	0.0	50.0	107.4	301648	91.6
-159.0	0.0	50.0	107.7	302599	91.8
-158.5	0.0	50.0	107.9	303030	91.9
-158.1	0.0	50.0	107.5	302023	91.7
-157.6	0.0	50.0	107.4	301863	91.7
-157.0	0.0	50.0	107.5	301979	91.9
-156.5	0.0	50.0	107.2	301099	91.5
-156.0	0.0	50.0	107.2	301301	91.7
-155.5	0.0	50.0	107.9	303153	92.0
-155.1	0.0	50.0	107.7	302600	91.9
-154.6	0.0	50.0	107.6	302291	91.8
-154.0	0.0	50.0	107.3	301510	91.6
-153.5	0.0	50.0	107.7	302559	91.9
-152.9	0.0	50.0	107.6	302221	91.8
-152.3	0.0	50.0	107.8	302769	91.8
-151.8	0.0	50.0	107.9	303070	92.1
-151.2	0.0	50.0	108.1	303634	92.3
-150.7	0.0	50.0	107.8	302932	92.0
-150.1	0.0	50.0	107.3	301549	91.6
-149.6	0.0	50.0	107.4	301680	91.6
-149.1	0.0	50.0	107.5	302045	91.7
-148.6	0.0	50.0	107.6	302187	91.5
-148.0	0.0	50.0	108.0	303523	91.8
-147.5	0.0	50.0	107.5	302076	91.5
-147.0	0.0	50.0	107.9	303034	91.9
-146.4	0.0	50.0	107.6	302228	91.7
-145.9	0.0	50.0	107.4	301827	91.5
-145.4	0.0	50.0	107.5	301984	91.6
-144.8	0.0	50.0	107.4	301777	91.6
-144.3	0.0	50.0	107.5	301874	91.5
-143.7	0.0	50.0	107.5	302022	91.5
-143.3	0.0	50.0	107.4	301814	91.4
-142.8	0.0	50.0	107.3	301367	91.4
-142.3	0.0	50.0	107.0	300596	91.2
-141.8	0.0	50.0	107.0	300634	91.2
-141.3	0.0	50.0	107.0	300662	91.3
-140.8	0.0	50.0	107.1	300785	91.3
-140.4	0.0	50.0	107.3	301400	91.6
-139.9	0.0	50.0	107.2	301297	91.4
-139.4	0.0	50.0	107.1	300752	91.3
-138.9	0.0	50.0	107.3	301449	91.5
-138.4	0.0	50.0	106.8	300053	91.3
-137.8	0.0	50.0	107.2	301298	91.5
-137.3	0.0	50.0	107.4	301746	91.6
-136.8	0.0	50.0	107.1	300805	91.3
-136.3	0.0	50.0	106.8	300061	91.2
-135.8	0.0	50.0	106.8	299951	91.2
-135.3	0.0	50.0	107.2	301238	91.4
-134.8	0.0	50.0	107.1	300839	91.3
-134.2	0.0	50.0	107.1	300921	91.1
-133.7	0.0	50.0	107.3	301504	91.3
-133.2	0.0	50.0	107.2	301087	91.3
-132.6	0.0	50.0	107.3	301349	91.3
-132.1	0.0	50.0	107.1	300766	91.3
-131.6	0.0	50.0	107.0	300523	91.4
-131.1	0.0	50.0	106.9	300296	91.2
-130.5	0.0	50.0	107.0	300482	91.1
-130.0	0.0	50.0	106.7	299813	90.9
-129.5	0.0	50.0	107.0	300584	91.2
-128.9	0.0	50.0	106.8	299956	90.9
-128.4	0.0	50.0	106.6	299471	90.8
-127.9	0.0	50.0	106.7	299854	90.8
-127.4	0.0	50.0	107.0	300683	91.2
-126.8	0.0	50.0	106.9	300458	91.0
-126.3	0.0	50.0	106.8	300036	91.1
-125.8	0.0	50.0	106.5	299157	90.7
-125.2	0.0	50.0	106.8	299929	91.0
-124.7	0.0	50.0	106.4	298917	90.7
-124.2	0.0	50.0	106.3	298589	90.5
-123.7	0.0	50.0	106.6	299386	90.8
-123.2	0.0	50.0	106.9	300189	91.1
-122.7	0.0	50.0	107.2	301261	91.5
-122.1	0.0	50.0	107.2	301109	91.2
-121.6	0.0	50.0	107.2	301224	91.3
-121.1	0.0	50.0	107.2	301185	91.4
-120.6	0.0	50.0	106.9	300240	91.1
-120.1	0.0	50.0	106.7	299638	90.9
-119.6	0.0	50.0	106.5	299111	90.7
-119.0	0.0	50.0	106.5	299323	90.8
-118.5	0.0	50.0	106.7	299710	90.9
-118.0	0.0	50.0	106.6	299400	90.9
-117.5	0.0	50.0	106.5	299294	90.9
-117.0	0.0	50.0	106.8	299979	91.1
-116.5	0.0	50.0	106.9	300313	91.2
-115.9	0.0	50.0	106.8	299918	91.3
-115.4	0.0	50.0	106.6	299432	91.2
-114.9	0.0	50.0	106.6	299458	91.1
-114.4	0.0	50.0	106.3	298712	90.8
-113.8	0.0	50.0	106.2	298491	90.6
-113.3	0.0	50.0	106.4	298863	90.9
-112.8	0.0	50.0	106.3	298727	91.0
-112.3	0.0	50.0	106.8	300097	91.2
-111.8	0.0	50.0	106.6	299622	91.0
-111.2	0.0	50.0	106.5	299138	90.9
-110.7	0.0	50.0	106.7	299858	91.0
-110.2	0.0	50.0	106.6	299602	91.0
-109.7	0.0	50.0	106.8	300074	91.0
-109.1	0.0	50.0	107.1	300817	91.2
-108.6	0.0	50.0	107.0	300745	91.2
-108.1	0.0	50.0	106.9	300427	91.1
-107.6	0.0	50.0	106.7	299781	90.9
-107.1	0.0	50.0	106.8	299975	90.9
-106.6	0.0	50.0	106.8	300092	91.0
-106.0	0.0	50.0	106.9	300256	90.9
-105.5	0.0	50.0	107.0	300472	91.2
-105.0	0.0	50.0	106.8	300097	91.1
-104.5	0.0	50.0	106.8	300057	91.1
-104.0	0.0	50.0	106.5	299146	90.7
-103.5	0.0	50.0	106.5	299092	90.8
-102.9	0.0	50.0	106.5	299117	90.8
-102.4	0.0	50.0	106.6	299404	91.0
-101.9	0.0	50.0	107.0	300563	91.2
-101.4	0.0	50.0	106.9	300228	91.2
-100.9	0.0	50.0	106.7	299735	90.9
-100.4	0.0	50.0	106.8	300018	91.1
-99.8	0.0	50.0	107.0	300603	91.3
-99.3	0.0	50.0	106.9	300265	91.1
-98.8	0.0	50.0	107.0	300732	91.2
-98.3	0.0	50.0	107.1	300969	91.1
-97.7	0.0	50.0	106.8	300051	91.0
-97.2	0.0	50.0	106.9	300188	91.2
-96.7	0.0	50.0	107.2	301173	91.3
-96.2	0.0	50.0	107.2	301299	91.4
-95.7	0.0	50.0	107.3	301369	91.4
-95.1	0.0	50.0	106.8	300009	91.0
-94.6	0.0	50.0	106.8	299932	91.0
-94.1	0.0	50.0	107.0	300663	91.1
-93.6	0.0	50.0	106.8	299949	91.0
-93.1	0.0	50.0	106.9	300358	91.2
-92.6	0.0	50.0	106.6	299553	91.0
-92.0	0.0	50.0	107.0	300608	91.2
-91.5	0.0	50.0	107.1	300953	91.4
-91.0	0.0	50.0	106.9	300436	91.3
-90.5	0.0	50.0	106.9	300319	91.2
-89.9	0.0	50.0	107.1	300915	91.4
-89.4	0.0	50.0	106.8	300049	91.2
-88.9	0.0	50.0	106.9	300209	91.1
-88.4	0.0	50.0	106.8	300053	91.2
-87.9	0.0	50.0	107.1	300844	91.3
-87.3	0.0	50.0	107.0	300478	91.2
-86.8	0.0	50.0	106.8	300141	91.1
-86.3	0.0	50.0	107.0	300468	91.2
-85.8	0.0	50.0	106.8	300116	91.1
-85.2	0.0	50.0	107.3	301358	91.3
-84.7	0.0	50.0	107.1	300911	91.2
-84.2	0.0	50.0	106.9	300455	91.1
-83.7	0.0	50.0	107.1	300946	91.4
-83.2	0.0	50.0	107.1	300839	91.3
-82.7	0.0	50.0	106.8	299940	91.0
-82.1	0.0	50.0	106.8	299990	91.0
-81.6	0.0	50.0	106.8	300057	91.0
-81.1	0.0	50.0	106.9	300362	91.1
-80.6	0.0	50.0	106.8	300137	91.2
-80.1	0.0	50.0	107.1	300984	91.4
-79.5	0.0	50.0	106.9	300192	91.2
-79.0	0.0	50.0	107.1	300785	91.3
-78.5	0.0	50.0	107.0	300470	91.2
-77.9	0.0	50.0	107.1	300939	91.3
-77.4	0.0	50.0	107.0	300528	91.1
-76.9	0.0	50.0	107.2	301200	91.4
-76.4	0.0	50.0	107.4	301624	91.5
-75.9	0.0	50.0	107.4	301635	91.4
-75.3	0.0	50.0	107.2	301273	91.4
-74.8	0.0	50.0	107.3	301388	91.4
-74.3	0.0	50.0	107.4	301817	91.6
-73.8	0.0	50.0	107.1	300933	91.4
-73.3	0.0	50.0	107.0	300505	91.1
-72.7	0.0	50.0	106.9	300278	91.2
-72.2	0.0	50.0	106.9	300336	91.1
-71.7	0.0	50.0	107.0	300657	91.2
-71.2	0.0	50.0	107.2	301293	91.3
-70.7	0.0	50.0	107.3	301394	91.4
-70.2	0.0	50.0	107.3	301334	91.4
-69.7	0.0	50.0	107.2	301176	91.3
-69.1	0.0	50.0	107.2	301200	91.2
-68.6	0.0	50.0	107.2	301124	91.3
-68.1	0.0	50.0	106.8	300085	91.1
-67.5	0.0	50.0	107.2	301160	91.4
-67.0	0.0	50.0	107.5	302013	91.7
-66.5	0.0	50.0	107.4	301862	91.8
-66.0	0.0	50.0	107.3	301573	91.4
-65.5	0.0	50.0	107.2	301246	91.4
-64.9	0.0	50.0	107.4	301864	91.6
-64.4	0.0	50.0	107.5	301921	91.6
-63.9	0.0	50.0	107.3	301423	91.5
-63.4	0.0	50.0	107.2	301264	91.5
-62.9	0.0	50.0	107.5	302128	91.7
-62.4	0.0	50.0	107.6	302312	91.7
-61.8	0.0	50.0	107.3	301502	91.5
-61.3	0.0	50.0	107.4	301825	91.5
-60.8	0.0	50.0	107.5	302051	91.6
-60.3	0.0	50.0	107.4	301813	91.5
-59.8	0.0	50.0	107.6	302268	91.7
-59.2	0.0	50.0	107.5	301872	91.5
-58.7	0.0	50.0	107.8	302896	91.8
-58.2	0.0	50.0	107.5	302010	91.6
-57.7	0.0	50.0	107.7	302439	91.7
-57.2	0.0	50.0	107.6	302346	91.8
-56.7	0.0	50.0	107.5	302093	91.6
-56.1	0.0	50.0	107.6	302261	91.7
-55.6	0.0	50.0	107.3	301568	91.4
-55.1	0.0	50.0	107.4	301604	91.4
-54.6	0.0	50.0	107.4	301771	91.5
-54.1	0.0	50.0	107.7	302462	91.6
-53.6	0.0	50.0	107.9	303142	91.8
-53.0	0.0	50.0	107.7	302652	91.8
-52.5	0.0	50.0	107.4	301681	91.6
-52.0	0.0	50.0	107.6	302297	91.6
-51.5	0.0	50.0	107.4	301791	91.4
