30/09/2014 09:34:21

Radiation device:	U05 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Diode
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Crossline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	-110.0	50.0	1.4	4164	0.0
0.0	-108.9	50.0	1.5	4458	0.0
0.0	-107.1	50.0	1.6	4512	0.0
0.0	-105.3	50.0	1.6	4573	0.0
0.0	-104.3	50.0	1.8	5116	0.0
0.0	-103.1	50.0	1.7	4954	0.0
0.0	-101.9	50.0	1.8	5182	0.0
0.0	-100.7	50.0	1.8	5315	0.0
0.0	-99.5	50.0	1.9	5384	0.0
0.0	-98.3	50.0	1.9	5625	0.0
0.0	-97.1	50.0	2.0	5807	0.0
0.0	-95.9	50.0	2.1	5923	0.0
0.0	-94.6	50.0	2.1	6107	0.0
0.0	-93.4	50.0	2.2	6312	0.0
0.0	-92.2	50.0	2.3	6538	0.0
0.0	-90.9	50.0	2.4	6841	0.0
0.0	-89.8	50.0	2.4	7001	0.0
0.0	-88.5	50.0	2.5	7158	0.0
0.0	-87.3	50.0	2.5	7325	0.0
0.0	-86.1	50.0	2.7	7779	0.0
0.0	-84.9	50.0	2.7	7906	0.0
0.0	-83.6	50.0	2.9	8296	0.0
0.0	-82.4	50.0	2.9	8357	0.0
0.0	-81.2	50.0	3.0	8533	0.0
0.0	-80.0	50.0	3.2	9360	0.0
0.0	-78.8	50.0	3.3	9465	0.0
0.0	-77.6	50.0	3.4	9778	0.0
0.0	-76.3	50.0	3.6	10399	0.0
0.0	-75.1	50.0	3.7	10631	0.0
0.0	-73.9	50.0	3.9	11145	0.0
0.0	-72.7	50.0	4.0	11624	0.0
0.0	-71.5	50.0	4.2	12143	0.0
0.0	-70.3	50.0	4.4	12610	0.0
0.0	-69.1	50.0	4.6	13374	0.0
0.0	-67.9	50.0	4.9	14133	0.0
0.0	-66.7	50.0	5.1	14645	0.0
0.0	-65.5	50.0	5.4	15477	0.0
0.0	-64.2	50.0	5.7	16529	0.0
0.0	-63.0	50.0	6.0	17324	0.0
0.0	-61.8	50.0	6.5	18628	0.0
0.0	-60.6	50.0	7.0	20237	0.0
0.0	-59.4	50.0	7.6	21863	0.0
0.0	-58.2	50.0	8.5	24553	0.0
0.0	-57.0	50.0	9.8	28208	0.0
0.0	-55.8	50.0	11.8	34158	0.0
0.0	-54.6	50.0	15.1	43468	0.0
0.0	-53.3	50.0	21.3	61381	0.0
0.0	-52.1	50.0	31.0	89574	0.0
0.0	-50.9	50.0	42.9	123769	0.0
0.0	-49.6	50.0	56.1	162050	0.0
0.0	-48.5	50.0	68.2	197019	0.0
0.0	-47.3	50.0	78.8	227403	0.0
0.0	-46.1	50.0	86.6	250087	0.0
0.0	-44.9	50.0	91.1	262993	0.0
0.0	-43.6	50.0	93.9	270977	0.0
0.0	-42.4	50.0	95.3	275044	0.0
0.0	-41.2	50.0	96.3	277942	0.0
0.0	-40.0	50.0	97.1	280327	0.0
0.0	-38.8	50.0	97.8	282457	0.0
0.0	-37.5	50.0	98.2	283592	0.0
0.0	-36.3	50.0	98.5	284415	0.0
0.0	-35.1	50.0	98.5	284486	0.0
0.0	-33.9	50.0	99.2	286449	0.0
0.0	-32.7	50.0	99.1	286116	0.0
0.0	-31.5	50.0	99.5	287309	0.0
0.0	-30.2	50.0	99.8	288091	0.0
0.0	-29.1	50.0	99.8	288021	0.0
0.0	-27.8	50.0	99.7	287982	0.0
