1-2-2013 16:09:48

Radiation device:	U03 Accelerator
Energy:	10 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	300 x 300 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Crossline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	-177.5	50.0	268.1	16165	220.0
0.0	-177.2	50.0	264.7	15964	217.7
0.0	-176.3	50.0	278.3	16784	228.2
0.0	-175.6	50.0	284.8	17174	233.5
0.0	-174.9	50.0	287.5	17334	235.9
0.0	-174.3	50.0	298.4	17992	244.8
0.0	-173.3	50.0	294.1	17734	241.0
0.0	-172.7	50.0	301.6	18189	245.4
0.0	-172.3	50.0	310.9	18749	254.2
0.0	-171.9	50.0	311.7	18794	255.4
0.0	-171.3	50.0	324.5	19569	265.8
0.0	-170.8	50.0	325.2	19610	267.3
0.0	-170.3	50.0	340.6	20542	277.7
0.0	-169.8	50.0	346.5	20894	283.2
0.0	-169.3	50.0	347.8	20975	283.9
0.0	-168.8	50.0	360.1	21714	293.6
0.0	-168.2	50.0	372.2	22444	303.8
0.0	-167.7	50.0	382.8	23086	311.8
0.0	-167.2	50.0	395.4	23846	324.4
0.0	-166.7	50.0	404.6	24397	332.9
0.0	-166.2	50.0	420.2	25339	343.4
0.0	-165.7	50.0	438.4	26439	359.9
0.0	-165.2	50.0	452.1	27260	371.4
0.0	-164.7	50.0	470.2	28355	385.0
0.0	-164.2	50.0	498.1	30036	409.3
0.0	-163.7	50.0	531.8	32068	435.9
0.0	-163.2	50.0	560.0	33772	458.5
0.0	-162.7	50.0	597.9	36055	490.8
0.0	-162.1	50.0	648.1	39083	531.6
0.0	-161.6	50.0	710.0	42815	580.4
0.0	-161.1	50.0	777.8	46901	639.5
0.0	-160.6	50.0	875.1	52773	713.7
0.0	-160.1	50.0	983.2	59291	808.3
0.0	-159.6	50.0	1144.6	69025	937.7
0.0	-159.1	50.0	1316.9	79411	1079.4
0.0	-158.5	50.0	1522.8	91831	1254.4
0.0	-158.0	50.0	1725.7	104068	1415.4
0.0	-157.5	50.0	1936.7	116788	1595.0
0.0	-156.9	50.0	2179.0	131399	1783.6
0.0	-156.4	50.0	2393.1	144308	1960.5
0.0	-155.9	50.0	2616.2	157763	2151.5
0.0	-155.3	50.0	2830.1	170666	2314.1
0.0	-154.8	50.0	3029.7	182702	2480.4
0.0	-154.3	50.0	3177.1	191589	2617.3
0.0	-153.8	50.0	3343.1	201599	2738.6
0.0	-153.3	50.0	3465.4	208974	2837.2
0.0	-152.8	50.0	3567.9	215152	2905.9
0.0	-152.3	50.0	3655.8	220458	2981.1
0.0	-151.8	50.0	3694.9	222816	3029.7
0.0	-151.2	50.0	3758.3	226639	3061.0
0.0	-150.8	50.0	3754.8	226423	3073.0
0.0	-150.2	50.0	3799.0	229088	3107.8
0.0	-149.7	50.0	3824.7	230641	3122.2
0.0	-149.2	50.0	3818.7	230278	3121.9
0.0	-148.7	50.0	3839.8	231553	3133.7
0.0	-148.2	50.0	3842.0	231686	3145.5
0.0	-147.7	50.0	3837.7	231422	3139.1
0.0	-147.2	50.0	3851.5	232257	3138.7
0.0	-146.6	50.0	3853.9	232402	3146.7
0.0	-146.1	50.0	3845.4	231887	3147.5
0.0	-145.6	50.0	3859.4	232735	3159.1
0.0	-145.1	50.0	3841.2	231633	3141.1
0.0	-144.6	50.0	3828.1	230844	3134.4
0.0	-144.0	50.0	3819.0	230296	3134.1
0.0	-143.6	50.0	3816.2	230129	3132.5
0.0	-143.0	50.0	3827.3	230798	3124.0
0.0	-142.5	50.0	3796.8	228958	3111.4
0.0	-142.0	50.0	3804.0	229391	3129.9
0.0	-141.5	50.0	3786.9	228363	3111.1
0.0	-141.0	50.0	3768.2	227234	3112.3
0.0	-140.5	50.0	3780.5	227973	3093.9
0.0	-140.0	50.0	3750.9	226193	3081.4
0.0	-139.4	50.0	3759.6	226715	3073.9
0.0	-138.9	50.0	3758.6	226655	3078.8
0.0	-138.4	50.0	3751.4	226223	3070.0
0.0	-137.9	50.0	3739.9	225530	3054.7
0.0	-137.3	50.0	3730.7	224975	3055.7
0.0	-136.8	50.0	3718.7	224246	3059.7
0.0	-136.4	50.0	3718.3	224226	3036.9
0.0	-135.9	50.0	3708.1	223608	3025.6
0.0	-135.3	50.0	3678.6	221831	3011.5
0.0	-134.9	50.0	3687.8	222384	3020.1
0.0	-134.3	50.0	3660.0	220710	3022.1
0.0	-133.8	50.0	3679.9	221907	2994.8
0.0	-133.3	50.0	3660.9	220762	2981.4
0.0	-132.8	50.0	3630.7	218943	2982.5
0.0	-132.3	50.0	3648.2	220000	2978.7
0.0	-131.7	50.0	3613.0	217875	2948.2
0.0	-131.2	50.0	3606.2	217462	2948.3
0.0	-130.7	50.0	3602.7	217252	2947.7
0.0	-130.2	50.0	3589.5	216457	2926.9
0.0	-129.7	50.0	3577.0	215706	2915.9
0.0	-129.2	50.0	3557.9	214553	2914.4
0.0	-128.6	50.0	3542.4	213620	2904.5
0.0	-128.1	50.0	3538.4	213377	2907.9
0.0	-127.6	50.0	3522.7	212429	2895.2
0.0	-127.1	50.0	3498.1	210944	2879.5
0.0	-126.5	50.0	3512.0	211786	2864.7
0.0	-126.0	50.0	3484.3	210111	2864.6
0.0	-125.5	50.0	3486.8	210263	2852.8
0.0	-125.0	50.0	3463.8	208877	2850.1
0.0	-124.5	50.0	3452.5	208196	2836.8
0.0	-124.0	50.0	3460.8	208697	2839.8
0.0	-123.5	50.0	3424.0	206480	2827.7
0.0	-123.0	50.0	3429.9	206834	2805.7
0.0	-122.4	50.0	3408.1	205515	2796.9
0.0	-122.0	50.0	3404.5	205302	2797.7
0.0	-121.4	50.0	3392.1	204554	2781.2
0.0	-120.9	50.0	3379.8	203811	2788.1
0.0	-120.4	50.0	3386.8	204234	2758.4
0.0	-119.9	50.0	3366.0	202977	2759.3
0.0	-119.4	50.0	3347.9	201890	2747.0
0.0	-118.8	50.0	3357.5	202467	2732.2
0.0	-118.4	50.0	3335.4	201136	2723.0
0.0	-117.9	50.0	3323.9	200438	2713.5
0.0	-117.3	50.0	3310.4	199629	2704.9
0.0	-116.8	50.0	3302.1	199124	2704.6
0.0	-116.3	50.0	3308.8	199533	2707.5
0.0	-115.8	50.0	3298.2	198889	2684.3
0.0	-115.2	50.0	3265.0	196887	2692.0
0.0	-114.8	50.0	3277.9	197668	2656.5
0.0	-114.2	50.0	3247.3	195823	2653.4
0.0	-113.7	50.0	3245.6	195720	2651.0
0.0	-113.2	50.0	3250.5	196014	2638.3
0.0	-112.7	50.0	3210.4	193599	2629.2
0.0	-112.1	50.0	3214.8	193865	2616.8
0.0	-111.6	50.0	3210.9	193629	2621.1
0.0	-111.1	50.0	3187.6	192222	2596.3
0.0	-110.6	50.0	3165.3	190880	2588.3
0.0	-110.0	50.0	3164.6	190838	2593.0
0.0	-109.5	50.0	3155.6	190289	2572.7
0.0	-109.0	50.0	3143.8	189578	2574.6
0.0	-108.5	50.0	3125.2	188460	2566.9
0.0	-108.0	50.0	3120.5	188173	2555.0
0.0	-107.5	50.0	3126.5	188535	2561.2
0.0	-107.0	50.0	3099.8	186924	2547.3
0.0	-106.5	50.0	3106.2	187310	2535.8
0.0	-106.0	50.0	3087.2	186165	2532.5
0.0	-105.5	50.0	3072.0	185250	2517.8
0.0	-105.0	50.0	3073.7	185351	2517.6
0.0	-104.4	50.0	3047.0	183744	2514.0
0.0	-104.0	50.0	3059.6	184502	2493.5
0.0	-103.4	50.0	3041.0	183380	2490.8
0.0	-102.9	50.0	3034.0	182956	2474.3
0.0	-102.4	50.0	3009.9	181508	2477.0
0.0	-101.9	50.0	3016.2	181887	2471.0
0.0	-101.4	50.0	3010.2	181522	2456.1
0.0	-100.8	50.0	2994.2	180562	2462.4
0.0	-100.4	50.0	2997.1	180735	2451.7
0.0	-99.9	50.0	2983.5	179917	2441.2
0.0	-99.3	50.0	2959.9	178489	2420.3
0.0	-98.8	50.0	2961.4	178583	2421.5
0.0	-98.3	50.0	2962.9	178672	2423.7
0.0	-97.8	50.0	2944.5	177564	2417.9
0.0	-97.3	50.0	2952.9	178069	2418.7
0.0	-96.8	50.0	2933.7	176911	2386.0
0.0	-96.2	50.0	2926.3	176466	2390.9
0.0	-95.7	50.0	2933.2	176881	2383.2
0.0	-95.2	50.0	2903.4	175085	2383.3
0.0	-94.7	50.0	2899.1	174823	2356.5
0.0	-94.1	50.0	2889.3	174232	2357.8
0.0	-93.6	50.0	2879.9	173665	2352.8
0.0	-93.2	50.0	2858.9	172399	2344.2
0.0	-92.6	50.0	2855.1	172173	2335.1
0.0	-92.1	50.0	2860.1	172473	2342.6
0.0	-91.6	50.0	2839.2	171212	2326.5
0.0	-91.1	50.0	2819.3	170012	2317.5
0.0	-90.6	50.0	2824.1	170302	2308.8
0.0	-90.0	50.0	2816.7	169855	2299.8
0.0	-89.6	50.0	2794.0	168485	2289.9
0.0	-89.0	50.0	2796.2	168619	2289.9
0.0	-88.5	50.0	2781.2	167714	2274.5
0.0	-88.0	50.0	2773.4	167244	2277.4
0.0	-87.5	50.0	2779.8	167630	2271.4
0.0	-87.0	50.0	2754.3	166090	2253.0
0.0	-86.4	50.0	2750.9	165888	2260.5
0.0	-85.9	50.0	2746.9	165644	2244.8
0.0	-85.4	50.0	2726.7	164426	2240.1
0.0	-84.9	50.0	2720.3	164041	2227.3
0.0	-84.4	50.0	2708.8	163346	2223.8
0.0	-83.9	50.0	2710.8	163469	2220.1
0.0	-83.3	50.0	2697.1	162642	2223.5
0.0	-82.8	50.0	2687.7	162074	2209.0
0.0	-82.3	50.0	2688.6	162129	2198.6
0.0	-81.8	50.0	2661.7	160507	2187.6
0.0	-81.3	50.0	2673.6	161228	2184.5
0.0	-80.8	50.0	2661.4	160490	2180.9
0.0	-80.3	50.0	2643.7	159424	2166.7
0.0	-79.7	50.0	2638.9	159133	2174.6
0.0	-79.2	50.0	2641.1	159269	2162.4
0.0	-78.8	50.0	2627.7	158459	2158.3
0.0	-78.2	50.0	2627.2	158429	2144.0
0.0	-77.7	50.0	2606.1	157153	2130.4
0.0	-77.2	50.0	2618.6	157911	2128.9
0.0	-76.7	50.0	2610.2	157401	2129.6
0.0	-76.2	50.0	2585.1	155890	2107.0
0.0	-75.6	50.0	2604.8	157079	2108.3
0.0	-75.2	50.0	2570.8	155028	2104.3
0.0	-74.6	50.0	2563.3	154577	2100.0
0.0	-74.1	50.0	2557.2	154204	2081.0
0.0	-73.6	50.0	2542.9	153344	2081.1
0.0	-73.1	50.0	2537.5	153019	2068.7
0.0	-72.6	50.0	2536.8	152976	2071.9
0.0	-72.0	50.0	2519.2	151912	2063.2
0.0	-71.5	50.0	2511.5	151448	2059.6
0.0	-71.0	50.0	2507.9	151236	2052.8
0.0	-70.5	50.0	2487.2	149984	2058.4
0.0	-70.0	50.0	2502.6	150912	2055.1
0.0	-69.5	50.0	2484.7	149835	2029.2
0.0	-68.9	50.0	2469.0	148890	2020.6
0.0	-68.4	50.0	2463.0	148527	2025.7
0.0	-67.9	50.0	2447.1	147567	2025.4
0.0	-67.4	50.0	2453.4	147944	1998.3
0.0	-66.9	50.0	2435.4	146862	2002.7
0.0	-66.4	50.0	2439.9	147134	2000.9
0.0	-65.9	50.0	2432.9	146709	1992.3
0.0	-65.3	50.0	2416.2	145701	1986.2
0.0	-64.8	50.0	2411.9	145445	1982.0
0.0	-64.3	50.0	2408.7	145249	1971.8
0.0	-63.8	50.0	2396.0	144483	1974.6
0.0	-63.3	50.0	2387.7	143986	1966.4
0.0	-62.8	50.0	2377.1	143345	1942.8
0.0	-62.3	50.0	2364.1	142564	1937.6
0.0	-61.7	50.0	2358.3	142211	1938.4
0.0	-61.2	50.0	2355.3	142034	1929.3
0.0	-60.7	50.0	2350.3	141732	1913.0
0.0	-60.2	50.0	2355.4	142040	1916.0
0.0	-59.7	50.0	2327.6	140360	1908.7
0.0	-59.2	50.0	2333.3	140706	1910.4
0.0	-58.7	50.0	2308.5	139207	1896.5
0.0	-58.1	50.0	2329.5	140476	1894.1
0.0	-57.6	50.0	2319.6	139876	1889.2
0.0	-57.1	50.0	2286.2	137866	1874.0
0.0	-56.6	50.0	2309.5	139267	1873.5
0.0	-56.1	50.0	2278.7	137413	1864.8
0.0	-55.6	50.0	2271.6	136981	1863.5
0.0	-55.1	50.0	2269.0	136829	1852.1
0.0	-54.6	50.0	2257.2	136118	1846.3
0.0	-54.0	50.0	2241.8	135185	1829.8
0.0	-53.6	50.0	2228.9	134410	1823.7
0.0	-53.0	50.0	2222.0	133992	1816.9
0.0	-52.5	50.0	2218.9	133808	1811.1
0.0	-52.0	50.0	2210.8	133318	1809.6
0.0	-51.5	50.0	2201.6	132766	1803.7
0.0	-51.0	50.0	2199.6	132642	1811.7
0.0	-50.5	50.0	2188.2	131957	1799.3
0.0	-50.0	50.0	2193.9	132301	1792.9
0.0	-49.4	50.0	2165.3	130572	1780.2
0.0	-48.9	50.0	2164.4	130519	1780.6
0.0	-48.4	50.0	2169.5	130829	1771.4
0.0	-47.9	50.0	2156.0	130015	1763.1
0.0	-47.4	50.0	2145.5	129381	1765.0
0.0	-46.8	50.0	2133.5	128655	1759.2
0.0	-46.4	50.0	2117.3	127682	1750.0
0.0	-45.8	50.0	2121.5	127933	1737.7
0.0	-45.3	50.0	2115.3	127558	1731.5
0.0	-44.8	50.0	2113.0	127418	1735.8
0.0	-44.3	50.0	2089.6	126011	1719.9
0.0	-43.7	50.0	2090.8	126079	1713.4
0.0	-43.2	50.0	2092.4	126179	1714.3
0.0	-42.7	50.0	2087.5	125882	1708.7
0.0	-42.2	50.0	2077.2	125261	1705.2
0.0	-41.6	50.0	2071.1	124894	1701.7
0.0	-41.1	50.0	2055.5	123954	1681.4
0.0	-40.6	50.0	2065.5	124553	1685.9
0.0	-40.1	50.0	2055.1	123926	1674.6
0.0	-39.6	50.0	2043.7	123238	1672.2
0.0	-39.1	50.0	2061.0	124283	1672.4
0.0	-38.6	50.0	2044.6	123293	1666.3
0.0	-38.0	50.0	2022.0	121930	1652.8
0.0	-37.6	50.0	2032.3	122552	1662.4
0.0	-37.1	50.0	2020.7	121853	1656.0
0.0	-36.6	50.0	2013.9	121443	1643.1
0.0	-36.0	50.0	1999.0	120545	1632.7
0.0	-35.5	50.0	1997.6	120463	1627.7
0.0	-35.0	50.0	1984.3	119660	1629.4
0.0	-34.5	50.0	1986.8	119812	1624.8
0.0	-34.0	50.0	1974.9	119093	1623.3
0.0	-33.5	50.0	1980.2	119413	1613.6
0.0	-32.9	50.0	1963.1	118383	1613.4
0.0	-32.4	50.0	1960.8	118243	1609.3
0.0	-31.9	50.0	1962.5	118345	1598.0
0.0	-31.4	50.0	1942.1	117112	1597.6
0.0	-30.9	50.0	1940.3	117004	1585.4
0.0	-30.4	50.0	1925.2	116093	1576.9
0.0	-29.9	50.0	1928.8	116313	1579.7
0.0	-29.3	50.0	1930.1	116388	1576.7
0.0	-28.8	50.0	1907.4	115021	1562.3
0.0	-28.3	50.0	1912.7	115341	1565.7
0.0	-27.8	50.0	1901.4	114662	1560.3
0.0	-27.3	50.0	1895.0	114274	1555.6
0.0	-26.8	50.0	1888.6	113890	1551.4
0.0	-26.3	50.0	1879.1	113313	1542.1
0.0	-25.8	50.0	1882.9	113544	1536.9
0.0	-25.2	50.0	1869.9	112760	1538.9
0.0	-24.8	50.0	1858.3	112059	1522.8
0.0	-24.2	50.0	1860.9	112216	1520.3
0.0	-23.7	50.0	1849.8	111548	1516.3
0.0	-23.2	50.0	1844.0	111201	1513.2
0.0	-22.7	50.0	1853.7	111785	1509.1
0.0	-22.2	50.0	1831.8	110465	1508.3
0.0	-21.6	50.0	1832.1	110483	1492.5
0.0	-21.1	50.0	1830.4	110376	1490.0
0.0	-20.6	50.0	1815.2	109460	1485.5
0.0	-20.1	50.0	1822.8	109919	1478.4
0.0	-19.6	50.0	1797.9	108416	1474.1
0.0	-19.1	50.0	1807.6	109004	1466.9
0.0	-18.5	50.0	1796.9	108359	1463.2
0.0	-18.0	50.0	1780.7	107378	1462.1
0.0	-17.5	50.0	1773.8	106966	1455.2
0.0	-17.0	50.0	1765.2	106449	1442.3
0.0	-16.5	50.0	1758.9	106067	1430.5
