1-2-2013 15:51:04

Radiation device:	U03 Accelerator
Energy:	10 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	300 x 300 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Inline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
-177.5	0.0	50.0	140.2	8456	140.9
-177.2	0.0	50.0	141.9	8554	142.1
-176.1	0.0	50.0	148.2	8937	148.5
-175.5	0.0	50.0	145.0	8745	145.2
-174.9	0.0	50.0	148.0	8925	148.1
-174.3	0.0	50.0	152.7	9210	154.0
-173.4	0.0	50.0	141.9	8557	141.6
-172.7	0.0	50.0	152.2	9178	152.6
-172.3	0.0	50.0	154.0	9284	154.8
-172.0	0.0	50.0	152.1	9170	152.9
-171.5	0.0	50.0	152.7	9211	153.1
-170.9	0.0	50.0	157.2	9480	156.9
-170.4	0.0	50.0	161.4	9733	161.5
-169.9	0.0	50.0	159.5	9621	160.1
-169.3	0.0	50.0	168.1	10135	167.8
-168.8	0.0	50.0	168.1	10136	168.6
-168.2	0.0	50.0	164.1	9896	165.1
-167.7	0.0	50.0	168.9	10187	170.4
-167.1	0.0	50.0	170.8	10301	170.4
-166.5	0.0	50.0	168.0	10131	168.5
-165.9	0.0	50.0	177.1	10682	176.7
-165.4	0.0	50.0	175.5	10585	176.5
-165.0	0.0	50.0	177.0	10673	177.8
-164.5	0.0	50.0	190.5	11487	190.4
-164.1	0.0	50.0	174.8	10541	176.6
-163.6	0.0	50.0	185.3	11172	186.2
-163.0	0.0	50.0	194.5	11731	195.2
-162.6	0.0	50.0	195.6	11797	195.9
-162.1	0.0	50.0	188.8	11385	189.9
-161.6	0.0	50.0	200.9	12118	203.0
-161.1	0.0	50.0	205.5	12392	205.5
-160.6	0.0	50.0	213.1	12851	213.5
-160.2	0.0	50.0	220.9	13322	222.5
-159.6	0.0	50.0	229.6	13847	229.2
-159.1	0.0	50.0	248.7	14997	247.1
-158.6	0.0	50.0	248.6	14989	250.0
-158.1	0.0	50.0	266.6	16077	265.3
-157.6	0.0	50.0	275.9	16638	276.9
-157.1	0.0	50.0	299.4	18055	298.0
-156.6	0.0	50.0	312.1	18818	311.8
-156.0	0.0	50.0	337.4	20344	335.5
-155.5	0.0	50.0	354.5	21378	354.4
-154.9	0.0	50.0	379.4	22881	378.9
-154.3	0.0	50.0	390.8	23563	391.4
-153.8	0.0	50.0	415.6	25062	414.3
-153.3	0.0	50.0	422.8	25495	423.6
-152.7	0.0	50.0	432.0	26052	432.7
-152.2	0.0	50.0	443.6	26753	444.0
-151.6	0.0	50.0	447.3	26976	448.8
-151.1	0.0	50.0	458.9	27672	459.6
-150.6	0.0	50.0	462.7	27901	464.1
-150.0	0.0	50.0	463.2	27933	464.6
-149.5	0.0	50.0	467.1	28169	468.6
-149.0	0.0	50.0	481.8	29054	480.7
-148.5	0.0	50.0	477.0	28765	477.1
-148.0	0.0	50.0	485.5	29276	485.3
-147.5	0.0	50.0	478.6	28864	480.3
-147.0	0.0	50.0	485.5	29280	487.2
-146.4	0.0	50.0	489.1	29497	488.6
-145.9	0.0	50.0	494.3	29806	497.0
-145.4	0.0	50.0	496.4	29935	494.4
-144.9	0.0	50.0	494.0	29791	494.8
-144.4	0.0	50.0	502.4	30296	503.8
-143.9	0.0	50.0	505.3	30468	506.8
-143.4	0.0	50.0	507.5	30604	509.1
-143.0	0.0	50.0	510.9	30807	512.0
-142.5	0.0	50.0	514.9	31050	513.8
-141.9	0.0	50.0	515.0	31055	517.2
-141.4	0.0	50.0	519.3	31317	519.5
-140.9	0.0	50.0	528.0	31841	526.8
-140.4	0.0	50.0	519.4	31319	517.7
-139.9	0.0	50.0	524.6	31635	523.0
-139.3	0.0	50.0	536.1	32328	534.0
-138.8	0.0	50.0	533.6	32177	530.8
-138.3	0.0	50.0	530.5	31989	529.0
-137.8	0.0	50.0	532.9	32137	533.0
-137.3	0.0	50.0	543.9	32796	539.2
-136.8	0.0	50.0	542.3	32704	540.3
-136.3	0.0	50.0	536.8	32373	537.1
-135.8	0.0	50.0	547.5	33018	546.7
-135.2	0.0	50.0	545.9	32917	545.1
-134.7	0.0	50.0	553.2	33359	551.6
-134.2	0.0	50.0	553.5	33376	552.9
-133.7	0.0	50.0	552.2	33298	548.9
-133.1	0.0	50.0	558.2	33663	557.1
-132.6	0.0	50.0	559.9	33762	560.1
-132.1	0.0	50.0	561.6	33864	561.9
-131.6	0.0	50.0	562.3	33906	561.8
-131.1	0.0	50.0	564.6	34044	565.6
-130.6	0.0	50.0	572.3	34514	571.4
-130.0	0.0	50.0	569.4	34339	571.1
-129.5	0.0	50.0	581.0	35038	579.3
-129.0	0.0	50.0	578.9	34911	581.3
-128.5	0.0	50.0	582.2	35106	584.5
-128.0	0.0	50.0	581.0	35037	583.9
-127.5	0.0	50.0	587.9	35449	588.1
-126.9	0.0	50.0	582.5	35127	587.2
-126.4	0.0	50.0	594.9	35875	596.8
-125.9	0.0	50.0	597.1	36006	599.2
-125.4	0.0	50.0	597.3	36017	596.2
-124.9	0.0	50.0	598.0	36059	596.5
-124.4	0.0	50.0	600.5	36213	602.1
-123.9	0.0	50.0	608.7	36707	608.5
-123.4	0.0	50.0	606.6	36578	605.3
-122.8	0.0	50.0	607.8	36651	606.9
-122.3	0.0	50.0	619.2	37339	620.2
