12/11/2012 1:18:18 PM

Radiation device:	U11 Accelerator
Energy:	6 MV
Controller:	CU500E
Measurement device:	BlueWP484841
Field detector:	Cylindrical
Reference detector:	Undefined
SAD:	1000 mm
SSD:	1000 mm
Field size:	150 x 150 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Crossline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
-2.5	-159.4	300.0	2.3	0	0.0
-2.5	-159.1	300.0	2.3	0	0.0
-2.5	-158.6	300.0	2.2	0	0.0
-2.5	-158.2	300.0	2.3	0	0.0
-2.5	-157.9	300.0	2.3	0	0.0
-2.5	-157.4	300.0	2.4	0	0.0
-2.5	-156.8	300.0	2.3	0	0.0
-2.5	-156.3	300.0	2.3	0	0.0
-2.5	-155.9	300.0	2.4	0	0.0
-2.5	-155.6	300.0	2.4	0	0.0
-2.5	-155.1	300.0	2.4	0	0.0
-2.5	-154.8	300.0	2.4	0	0.0
-2.5	-154.4	300.0	2.5	0	0.0
-2.5	-154.0	300.0	2.5	0	0.0
-2.5	-153.6	300.0	2.5	0	0.0
-2.5	-153.3	300.0	2.4	0	0.0
-2.5	-153.0	300.0	2.5	0	0.0
-2.5	-152.5	300.0	2.5	0	0.0
-2.5	-152.1	300.0	2.6	0	0.0
-2.5	-151.7	300.0	2.6	0	0.0
-2.5	-151.3	300.0	2.6	0	0.0
-2.5	-151.0	300.0	2.6	0	0.0
-2.5	-150.5	300.0	2.6	0	0.0
-2.5	-150.0	300.0	2.6	0	0.0
-2.5	-149.5	300.0	2.6	0	0.0
-2.5	-149.2	300.0	2.7	0	0.0
-2.5	-148.9	300.0	2.7	0	0.0
-2.5	-148.4	300.0	2.7	0	0.0
-2.5	-147.9	300.0	2.7	0	0.0
-2.5	-147.5	300.0	2.7	0	0.0
-2.5	-147.2	300.0	2.7	0	0.0
-2.5	-146.8	300.0	2.7	0	0.0
-2.5	-146.5	300.0	2.7	0	0.0
-2.5	-146.1	300.0	2.7	0	0.0
-2.5	-145.6	300.0	2.8	0	0.0
-2.5	-145.3	300.0	2.8	0	0.0
-2.5	-145.0	300.0	2.8	0	0.0
-2.5	-144.6	300.0	2.9	0	0.0
-2.5	-144.3	300.0	2.9	0	0.0
-2.5	-143.9	300.0	2.9	0	0.0
-2.5	-143.6	300.0	2.9	0	0.0
-2.5	-143.3	300.0	2.9	0	0.0
-2.5	-142.9	300.0	2.9	0	0.0
-2.5	-142.6	300.0	2.9	0	0.0
-2.5	-142.3	300.0	3.0	0	0.0
-2.5	-141.8	300.0	3.0	0	0.0
-2.5	-141.4	300.0	3.0	0	0.0
-2.5	-141.1	300.0	3.0	0	0.0
-2.5	-140.8	300.0	3.0	0	0.0
-2.5	-140.4	300.0	3.1	0	0.0
-2.5	-140.0	300.0	3.1	0	0.0
-2.5	-139.6	300.0	3.1	0	0.0
-2.5	-139.2	300.0	3.1	0	0.0
-2.5	-138.7	300.0	3.2	0	0.0
-2.5	-138.2	300.0	3.2	0	0.0
-2.5	-137.8	300.0	3.2	0	0.0
-2.5	-137.5	300.0	3.2	0	0.0
-2.5	-137.0	300.0	3.3	0	0.0
-2.5	-136.7	300.0	3.2	0	0.0
-2.5	-136.2	300.0	3.3	0	0.0
-2.5	-135.7	300.0	3.4	0	0.0
-2.5	-135.2	300.0	3.3	0	0.0
-2.5	-134.7	300.0	3.3	0	0.0
-2.5	-134.4	300.0	3.4	0	0.0
-2.5	-134.1	300.0	3.4	0	0.0
-2.5	-133.6	300.0	3.5	0	0.0
-2.5	-133.1	300.0	3.4	0	0.0
-2.5	-132.6	300.0	3.5	0	0.0
-2.5	-132.2	300.0	3.6	0	0.0
-2.5	-131.9	300.0	3.5	0	0.0
-2.5	-131.6	300.0	3.5	0	0.0
-2.5	-131.3	300.0	3.6	0	0.0
-2.5	-130.8	300.0	3.7	0	0.0
-2.5	-130.4	300.0	3.7	0	0.0
-2.5	-130.1	300.0	3.7	0	0.0
-2.5	-129.6	300.0	3.7	0	0.0
-2.5	-129.3	300.0	3.7	0	0.0
-2.5	-129.0	300.0	3.8	0	0.0
-2.5	-128.5	300.0	3.8	0	0.0
-2.5	-128.0	300.0	3.8	0	0.0
-2.5	-127.6	300.0	3.8	0	0.0
-2.5	-127.3	300.0	3.9	0	0.0
-2.5	-127.0	300.0	3.9	0	0.0
-2.5	-126.5	300.0	3.9	0	0.0
-2.5	-126.0	300.0	4.0	0	0.0
-2.5	-125.7	300.0	4.0	0	0.0
-2.5	-125.2	300.0	3.9	0	0.0
-2.5	-124.8	300.0	4.0	0	0.0
-2.5	-124.5	300.0	4.0	0	0.0
-2.5	-124.0	300.0	4.0	0	0.0
-2.5	-123.7	300.0	4.0	0	0.0
-2.5	-123.2	300.0	4.0	0	0.0
-2.5	-122.7	300.0	4.1	0	0.0
-2.5	-122.2	300.0	4.2	0	0.0
-2.5	-121.9	300.0	4.1	0	0.0
-2.5	-121.5	300.0	4.3	0	0.0
-2.5	-121.2	300.0	4.2	0	0.0
-2.5	-120.9	300.0	4.3	0	0.0
-2.5	-120.6	300.0	4.2	0	0.0
-2.5	-120.1	300.0	4.3	0	0.0
-2.5	-119.6	300.0	4.4	0	0.0
-2.5	-119.1	300.0	4.5	0	0.0
-2.5	-118.6	300.0	4.5	0	0.0
-2.5	-118.1	300.0	4.5	0	0.0
-2.5	-117.6	300.0	4.6	0	0.0
-2.5	-117.3	300.0	4.6	0	0.0
-2.5	-116.8	300.0	4.6	0	0.0
-2.5	-116.3	300.0	4.6	0	0.0
-2.5	-115.8	300.0	4.7	0	0.0
-2.5	-115.2	300.0	4.8	0	0.0
-2.5	-114.7	300.0	4.8	0	0.0
-2.5	-114.3	300.0	4.9	0	0.0
-2.5	-114.0	300.0	4.9	0	0.0
-2.5	-113.5	300.0	5.0	0	0.0
-2.5	-113.0	300.0	5.0	0	0.0
-2.5	-112.5	300.0	5.1	0	0.0
-2.5	-112.2	300.0	5.2	0	0.0
-2.5	-111.7	300.0	5.2	0	0.0
-2.5	-111.2	300.0	5.3	0	0.0
-2.5	-110.7	300.0	5.3	0	0.0
-2.5	-110.4	300.0	5.3	0	0.0
-2.5	-109.9	300.0	5.5	0	0.0
-2.5	-109.5	300.0	5.5	0	0.0
-2.5	-109.2	300.0	5.6	0	0.0
-2.5	-108.9	300.0	5.6	0	0.0
-2.5	-108.6	300.0	5.7	0	0.0
-2.5	-108.3	300.0	5.8	0	0.0
-2.5	-107.9	300.0	5.8	0	0.0
-2.5	-107.3	300.0	6.0	0	0.0
-2.5	-106.9	300.0	6.1	0	0.0
-2.5	-106.4	300.0	6.4	0	0.0
-2.5	-106.1	300.0	6.5	0	0.0
-2.5	-105.6	300.0	6.7	0	0.0
-2.5	-105.1	300.0	6.9	0	0.0
-2.5	-104.8	300.0	7.0	0	0.0
-2.5	-104.3	300.0	7.3	0	0.0
-2.5	-104.0	300.0	7.3	0	0.0
-2.5	-103.5	300.0	7.7	0	0.0
-2.5	-103.1	300.0	8.0	0	0.0
-2.5	-102.8	300.0	8.2	0	0.0
-2.5	-102.5	300.0	8.3	0	0.0
-2.5	-102.0	300.0	8.8	0	0.0
-2.5	-101.6	300.0	9.3	0	0.0
-2.5	-101.3	300.0	9.8	0	0.0
-2.5	-101.0	300.0	10.1	0	0.0
-2.5	-100.7	300.0	10.4	0	0.0
-2.5	-100.3	300.0	11.0	0	0.0
-2.5	-100.0	300.0	11.2	0	0.0
-2.5	-99.7	300.0	11.6	0	0.0
-2.5	-99.3	300.0	12.4	0	0.0
-2.5	-98.6	300.0	13.3	0	0.0
-2.5	-98.3	300.0	13.9	0	0.0
-2.5	-98.0	300.0	14.3	0	0.0
-2.5	-97.7	300.0	14.8	0	0.0
-2.5	-97.4	300.0	15.2	0	0.0
-2.5	-96.9	300.0	15.8	0	0.0
-2.5	-96.5	300.0	16.4	0	0.0
-2.5	-95.9	300.0	17.3	0	0.0
-2.5	-95.6	300.0	17.7	0	0.0
-2.5	-95.2	300.0	18.4	0	0.0
-2.5	-94.7	300.0	19.0	0	0.0
-2.5	-94.3	300.0	19.4	0	0.0
-2.5	-93.9	300.0	19.8	0	0.0
-2.5	-93.4	300.0	20.2	0	0.0
-2.5	-92.8	300.0	20.7	0	0.0
-2.5	-92.3	300.0	21.2	0	0.0
-2.5	-91.9	300.0	21.6	0	0.0
-2.5	-91.6	300.0	21.7	0	0.0
-2.5	-91.3	300.0	22.1	0	0.0
-2.5	-90.8	300.0	22.3	0	0.0
-2.5	-90.3	300.0	22.6	0	0.0
-2.5	-89.8	300.0	23.1	0	0.0
-2.5	-89.3	300.0	23.1	0	0.0
-2.5	-89.0	300.0	23.4	0	0.0
-2.5	-88.6	300.0	23.6	0	0.0
-2.5	-88.0	300.0	23.8	0	0.0
-2.5	-87.7	300.0	24.0	0	0.0
-2.5	-87.2	300.0	24.0	0	0.0
-2.5	-86.8	300.0	24.1	0	0.0
-2.5	-86.4	300.0	24.0	0	0.0
-2.5	-85.9	300.0	24.4	0	0.0
-2.5	-85.5	300.0	24.3	0	0.0
-2.5	-85.2	300.0	24.5	0	0.0
-2.5	-84.7	300.0	24.5	0	0.0
-2.5	-84.4	300.0	24.6	0	0.0
-2.5	-83.9	300.0	24.6	0	0.0
-2.5	-83.4	300.0	24.7	0	0.0
-2.5	-82.9	300.0	24.8	0	0.0
-2.5	-82.6	300.0	24.8	0	0.0
-2.5	-82.1	300.0	24.9	0	0.0
-2.5	-81.7	300.0	24.9	0	0.0
-2.5	-81.3	300.0	24.9	0	0.0
-2.5	-80.9	300.0	25.0	0	0.0
-2.5	-80.6	300.0	25.0	0	0.0
-2.5	-80.1	300.0	25.1	0	0.0
-2.5	-79.6	300.0	25.3	0	0.0
-2.5	-79.1	300.0	25.1	0	0.0
-2.5	-78.8	300.0	25.1	0	0.0
-2.5	-78.3	300.0	25.3	0	0.0
-2.5	-78.0	300.0	25.4	0	0.0
-2.5	-77.6	300.0	25.4	0	0.0
-2.5	-77.2	300.0	25.4	0	0.0
-2.5	-76.8	300.0	25.3	0	0.0
-2.5	-76.5	300.0	25.4	0	0.0
-2.5	-76.0	300.0	25.6	0	0.0
-2.5	-75.5	300.0	25.5	0	0.0
-2.5	-75.0	300.0	25.7	0	0.0
-2.5	-74.7	300.0	25.6	0	0.0
-2.5	-74.2	300.0	25.6	0	0.0
-2.5	-73.7	300.0	25.8	0	0.0
-2.5	-73.2	300.0	25.6	0	0.0
-2.5	-72.7	300.0	25.8	0	0.0
-2.5	-72.4	300.0	25.8	0	0.0
-2.5	-72.0	300.0	25.8	0	0.0
-2.5	-71.7	300.0	26.0	0	0.0
-2.5	-71.4	300.0	25.9	0	0.0
-2.5	-70.9	300.0	25.9	0	0.0
-2.5	-70.4	300.0	26.1	0	0.0
-2.5	-69.9	300.0	26.0	0	0.0
-2.5	-69.4	300.0	26.1	0	0.0
-2.5	-69.1	300.0	26.1	0	0.0
-2.5	-68.8	300.0	26.1	0	0.0
-2.5	-68.4	300.0	26.2	0	0.0
-2.5	-68.1	300.0	26.1	0	0.0
-2.5	-67.8	300.0	26.2	0	0.0
-2.5	-67.4	300.0	26.2	0	0.0
-2.5	-67.1	300.0	26.3	0	0.0
-2.5	-66.8	300.0	26.2	0	0.0
-2.5	-66.4	300.0	26.2	0	0.0
-2.5	-66.1	300.0	26.2	0	0.0
-2.5	-65.8	300.0	26.2	0	0.0
-2.5	-65.3	300.0	26.4	0	0.0
-2.5	-65.0	300.0	26.4	0	0.0
-2.5	-64.5	300.0	26.3	0	0.0
-2.5	-64.2	300.0	26.3	0	0.0
-2.5	-63.8	300.0	26.4	0	0.0
-2.5	-63.5	300.0	26.3	0	0.0
-2.5	-63.0	300.0	26.5	0	0.0
-2.5	-62.7	300.0	26.6	0	0.0
-2.5	-62.3	300.0	26.6	0	0.0
-2.5	-62.0	300.0	26.6	0	0.0
-2.5	-61.6	300.0	26.6	0	0.0
-2.5	-61.2	300.0	26.6	0	0.0
-2.5	-60.8	300.0	26.7	0	0.0
-2.5	-60.5	300.0	26.6	0	0.0
-2.5	-60.2	300.0	26.7	0	0.0
-2.5	-59.7	300.0	26.7	0	0.0
-2.5	-59.4	300.0	26.7	0	0.0
-2.5	-58.9	300.0	26.7	0	0.0
-2.5	-58.4	300.0	26.7	0	0.0
-2.5	-57.9	300.0	26.8	0	0.0
-2.5	-57.6	300.0	26.8	0	0.0
-2.5	-57.1	300.0	26.9	0	0.0
-2.5	-56.6	300.0	27.0	0	0.0
-2.5	-56.3	300.0	26.9	0	0.0
-2.5	-55.9	300.0	26.9	0	0.0
-2.5	-55.6	300.0	26.8	0	0.0
-2.5	-55.1	300.0	26.9	0	0.0
-2.5	-54.6	300.0	27.0	0	0.0
-2.5	-54.0	300.0	26.9	0	0.0
-2.5	-53.6	300.0	27.0	0	0.0
-2.5	-53.3	300.0	27.1	0	0.0
-2.5	-52.8	300.0	27.1	0	0.0
-2.5	-52.3	300.0	27.1	0	0.0
-2.5	-52.0	300.0	27.1	0	0.0
-2.5	-51.5	300.0	27.2	0	0.0
-2.5	-51.1	300.0	27.1	0	0.0
-2.5	-50.7	300.0	27.2	0	0.0
-2.5	-50.2	300.0	27.3	0	0.0
-2.5	-49.7	300.0	27.2	0	0.0
-2.5	-49.2	300.0	27.2	0	0.0
-2.5	-48.8	300.0	27.2	0	0.0
-2.5	-48.5	300.0	27.4	0	0.0
-2.5	-48.2	300.0	27.2	0	0.0
-2.5	-47.7	300.0	27.3	0	0.0
-2.5	-47.4	300.0	27.3	0	0.0
-2.5	-46.9	300.0	27.3	0	0.0
-2.5	-46.4	300.0	27.3	0	0.0
-2.5	-45.9	300.0	27.3	0	0.0
-2.5	-45.3	300.0	27.3	0	0.0
-2.5	-44.9	300.0	27.5	0	0.0
-2.5	-44.5	300.0	27.4	0	0.0
-2.5	-44.2	300.0	27.4	0	0.0
-2.5	-43.9	300.0	27.4	0	0.0
-2.5	-43.6	300.0	27.4	0	0.0
-2.5	-43.1	300.0	27.5	0	0.0
-2.5	-42.6	300.0	27.4	0	0.0
-2.5	-42.1	300.0	27.4	0	0.0
-2.5	-41.7	300.0	27.4	0	0.0
-2.5	-41.3	300.0	27.4	0	0.0
-2.5	-40.8	300.0	27.5	0	0.0
-2.5	-40.3	300.0	27.6	0	0.0
-2.5	-40.0	300.0	27.6	0	0.0
-2.5	-39.6	300.0	27.6	0	0.0
-2.5	-39.3	300.0	27.6	0	0.0
-2.5	-39.0	300.0	27.6	0	0.0
-2.5	-38.5	300.0	27.6	0	0.0
-2.5	-38.0	300.0	27.7	0	0.0
-2.5	-37.5	300.0	27.6	0	0.0
-2.5	-37.2	300.0	27.6	0	0.0
-2.5	-36.7	300.0	27.7	0	0.0
-2.5	-36.3	300.0	27.6	0	0.0
-2.5	-35.7	300.0	27.7	0	0.0
-2.5	-35.2	300.0	27.7	0	0.0
-2.5	-34.7	300.0	27.8	0	0.0
-2.5	-34.2	300.0	27.8	0	0.0
-2.5	-33.9	300.0	27.7	0	0.0
-2.5	-33.6	300.0	27.7	0	0.0
-2.5	-33.2	300.0	27.8	0	0.0
-2.5	-32.7	300.0	27.8	0	0.0
-2.5	-32.4	300.0	27.8	0	0.0
-2.5	-32.1	300.0	27.9	0	0.0
-2.5	-31.7	300.0	27.8	0	0.0
-2.5	-31.4	300.0	27.8	0	0.0
-2.5	-31.1	300.0	27.8	0	0.0
-2.5	-30.6	300.0	27.8	0	0.0
-2.5	-30.0	300.0	27.9	0	0.0
-2.5	-29.6	300.0	27.9	0	0.0
-2.5	-29.1	300.0	27.8	0	0.0
-2.5	-28.8	300.0	27.9	0	0.0
-2.5	-28.4	300.0	27.8	0	0.0
-2.5	-28.1	300.0	27.8	0	0.0
-2.5	-27.6	300.0	27.9	0	0.0
-2.5	-27.3	300.0	28.0	0	0.0
-2.5	-26.8	300.0	27.9	0	0.0
-2.5	-26.3	300.0	28.0	0	0.0
-2.5	-26.0	300.0	27.9	0	0.0
-2.5	-25.5	300.0	27.9	0	0.0
-2.5	-25.0	300.0	28.0	0	0.0
-2.5	-24.6	300.0	27.9	0	0.0
-2.5	-24.3	300.0	28.0	0	0.0
-2.5	-24.0	300.0	28.0	0	0.0
-2.5	-23.7	300.0	28.0	0	0.0
-2.5	-23.3	300.0	28.0	0	0.0
-2.5	-23.0	300.0	28.0	0	0.0
-2.5	-22.7	300.0	28.0	0	0.0
-2.5	-22.4	300.0	28.0	0	0.0
-2.5	-22.0	300.0	28.0	0	0.0
-2.5	-21.7	300.0	28.0	0	0.0
-2.5	-21.2	300.0	28.0	0	0.0
-2.5	-20.9	300.0	28.0	0	0.0
-2.5	-20.4	300.0	28.0	0	0.0
-2.5	-19.9	300.0	28.1	0	0.0
-2.5	-19.4	300.0	28.0	0	0.0
-2.5	-18.9	300.0	28.0	0	0.0
-2.5	-18.4	300.0	28.2	0	0.0
-2.5	-18.1	300.0	28.1	0	0.0
-2.5	-17.6	300.0	28.0	0	0.0
-2.5	-17.1	300.0	28.1	0	0.0
-2.5	-16.8	300.0	28.1	0	0.0
