29-Jul-2015 17:18:35

Radiation device:	U09 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Beam
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	0.0	309.4	25.0	68196	25.2
0.0	0.0	308.3	25.2	68797	25.4
0.0	0.0	307.6	25.2	68923	25.4
0.0	0.0	306.6	25.3	69083	25.5
0.0	0.0	305.9	25.5	69721	25.7
0.0	0.0	305.5	25.6	70023	25.7
0.0	0.0	305.1	25.6	70050	25.7
0.0	0.0	304.5	25.6	70076	25.7
0.0	0.0	303.9	25.7	70165	25.8
0.0	0.0	303.3	25.8	70546	25.9
0.0	0.0	302.7	25.9	70842	26.1
0.0	0.0	302.1	26.1	71274	26.2
0.0	0.0	301.6	26.0	71089	26.1
0.0	0.0	301.0	26.2	71507	26.3
0.0	0.0	300.5	26.2	71645	26.4
0.0	0.0	300.0	26.2	71462	26.3
0.0	0.0	299.5	26.4	72145	26.6
0.0	0.0	299.0	26.4	72163	26.5
0.0	0.0	298.5	26.5	72384	26.6
0.0	0.0	298.0	26.6	72752	26.7
0.0	0.0	297.4	26.5	72390	26.7
0.0	0.0	296.9	26.7	73016	26.9
0.0	0.0	296.4	27.0	73771	27.1
0.0	0.0	295.9	26.8	73354	26.9
0.0	0.0	295.4	26.9	73613	27.0
0.0	0.0	294.9	26.9	73505	26.9
0.0	0.0	294.4	27.0	73745	26.9
0.0	0.0	293.9	27.2	74288	27.3
0.0	0.0	293.4	27.3	74659	27.4
0.0	0.0	292.9	27.4	74808	27.5
0.0	0.0	292.3	27.4	74847	27.5
0.0	0.0	291.8	27.6	75283	27.6
0.0	0.0	291.3	27.6	75432	27.7
0.0	0.0	290.8	27.8	75902	27.8
0.0	0.0	290.3	27.7	75789	27.8
0.0	0.0	289.8	27.7	75718	27.7
0.0	0.0	289.3	27.9	76362	27.9
0.0	0.0	288.8	28.0	76529	28.1
0.0	0.0	288.2	28.0	76632	28.1
0.0	0.0	287.7	28.0	76474	28.1
0.0	0.0	287.2	28.2	77040	28.2
0.0	0.0	286.7	28.2	77042	28.3
0.0	0.0	286.1	28.4	77527	28.5
0.0	0.0	285.6	28.7	78322	28.7
0.0	0.0	285.1	28.5	77844	28.6
0.0	0.0	284.6	28.5	77828	28.5
0.0	0.0	284.1	28.6	78117	28.6
0.0	0.0	283.6	28.6	78148	28.6
0.0	0.0	283.1	28.7	78305	28.8
0.0	0.0	282.6	28.8	78604	28.9
0.0	0.0	282.1	28.9	79095	29.0
0.0	0.0	281.6	29.0	79321	29.0
0.0	0.0	281.2	29.1	79543	29.2
0.0	0.0	280.7	29.2	79697	29.3
0.0	0.0	280.2	29.4	80203	29.4
0.0	0.0	279.7	29.4	80208	29.4
0.0	0.0	279.2	29.4	80225	29.4
0.0	0.0	278.7	29.6	80834	29.6
0.0	0.0	278.2	29.6	80812	29.5
0.0	0.0	277.6	29.6	80897	29.6
0.0	0.0	277.1	29.9	81646	30.0
0.0	0.0	276.5	30.1	82182	30.2
0.0	0.0	276.0	30.1	82299	30.2
0.0	0.0	275.4	30.0	81900	30.1
0.0	0.0	274.8	30.1	82114	30.1
0.0	0.0	274.3	30.1	82119	30.2
0.0	0.0	273.8	30.4	83083	30.5
0.0	0.0	273.3	30.3	82892	30.4
0.0	0.0	272.7	30.6	83496	30.7
0.0	0.0	272.2	30.6	83491	30.6
