8-2-2013 15:50:05

Radiation device:	U12 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	400 x 400 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	DiagonalMmPp
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
-230.0	-230.0	50.0	5.4	13734	3.2
-229.7	-229.7	50.0	5.4	13720	3.2
-228.9	-229.1	50.0	5.5	14024	3.3
-228.4	-228.6	50.0	5.5	14147	3.3
-227.9	-228.1	50.0	5.6	14242	3.4
-227.5	-227.7	50.0	5.9	15110	3.5
-227.1	-227.3	50.0	5.7	14701	3.4
-226.7	-226.8	50.0	5.7	14613	3.4
-226.3	-226.5	50.0	5.8	14957	3.5
-226.0	-226.1	50.0	6.0	15410	3.6
-225.7	-225.8	50.0	5.7	14524	3.4
-225.4	-225.5	50.0	5.9	15069	3.5
-225.1	-225.2	50.0	6.1	15708	3.7
-224.8	-224.9	50.0	6.0	15299	3.6
-224.4	-224.5	50.0	6.3	16254	3.8
-224.1	-224.2	50.0	6.1	15526	3.6
-223.7	-223.8	50.0	6.2	15824	3.7
-223.4	-223.4	50.0	6.2	15994	3.8
-223.0	-223.0	50.0	6.4	16291	3.8
-222.6	-222.7	50.0	6.4	16477	3.9
-222.2	-222.3	50.0	6.4	16402	3.8
-221.8	-221.9	50.0	6.4	16439	3.9
-221.5	-221.6	50.0	6.6	16919	4.0
-221.1	-221.2	50.0	6.6	16827	3.9
-220.8	-220.9	50.0	6.8	17547	4.1
-220.4	-220.5	50.0	6.6	16967	4.0
-220.1	-220.1	50.0	6.8	17360	4.1
-219.7	-219.8	50.0	6.9	17651	4.1
-219.4	-219.4	50.0	6.8	17302	4.1
-219.0	-219.1	50.0	6.9	17667	4.1
-218.6	-218.7	50.0	7.0	17878	4.2
-218.3	-218.4	50.0	7.2	18385	4.3
-217.9	-218.0	50.0	7.1	18091	4.3
-217.6	-217.6	50.0	7.2	18404	4.3
-217.2	-217.3	50.0	7.2	18557	4.4
