2/6/2014 3:33:06 PM

Radiation device:	U04 Accelerator
Energy:	18 MeV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Diode
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	200 x 200 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Beam
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	0.0	140.0	4.4	41779	3.2
0.0	0.0	139.6	4.5	42344	3.3
0.0	0.0	138.7	4.6	43583	3.3
0.0	0.0	138.1	4.5	42423	3.3
0.0	0.0	137.6	4.5	42475	3.3
0.0	0.0	137.2	4.6	42969	3.3
0.0	0.0	136.9	4.5	42335	3.2
0.0	0.0	136.4	4.6	43123	3.3
0.0	0.0	135.8	4.6	43460	3.3
0.0	0.0	135.3	4.7	43994	3.4
0.0	0.0	134.8	4.7	43992	3.4
0.0	0.0	134.3	4.7	43894	3.3
0.0	0.0	133.8	4.8	44803	3.4
0.0	0.0	133.3	4.8	44876	3.4
0.0	0.0	132.8	4.8	45546	3.5
0.0	0.0	132.3	4.8	45012	3.4
0.0	0.0	131.8	4.7	44503	3.4
0.0	0.0	131.3	4.9	46111	3.5
0.0	0.0	130.8	4.8	45470	3.5
0.0	0.0	130.3	4.8	45050	3.4
0.0	0.0	129.8	4.9	46177	3.5
0.0	0.0	129.3	4.9	46082	3.5
0.0	0.0	128.8	4.9	46051	3.5
0.0	0.0	128.2	4.9	46523	3.5
0.0	0.0	127.7	5.0	46942	3.6
0.0	0.0	127.3	5.1	47795	3.6
0.0	0.0	126.8	4.9	46049	3.5
0.0	0.0	126.3	5.0	46732	3.5
0.0	0.0	125.7	5.0	47219	3.6
0.0	0.0	125.2	5.0	46858	3.6
0.0	0.0	124.7	5.0	47111	3.6
0.0	0.0	124.2	5.1	48055	3.6
0.0	0.0	123.7	5.0	47242	3.6
0.0	0.0	123.2	5.0	47404	3.6
0.0	0.0	122.7	5.0	47468	3.6
0.0	0.0	122.2	5.2	48695	3.7
0.0	0.0	121.7	5.0	47233	3.6
