10-8-2005 21:20:16

Radiation device:	U03 Accelerator
Energy:	6 MeV
Controller:	CU500E
Measurement device:	BlueWP484841
Field detector:	Diode
Reference detector:	Undefined
SAD:	1000 mm
SSD:	950 mm
Field size:	105 x 105 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Crossline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	-108.3	14.0	8.8	0	0.0
0.0	-107.8	14.0	10.1	0	0.0
0.0	-107.5	14.0	10.1	0	0.0
0.0	-107.2	14.0	10.1	0	0.0
0.0	-106.8	14.0	8.8	0	0.0
0.0	-106.3	14.0	10.1	0	0.0
0.0	-106.0	14.0	11.3	0	0.0
0.0	-105.7	14.0	11.3	0	0.0
0.0	-105.4	14.0	10.1	0	0.0
0.0	-105.0	14.0	11.3	0	0.0
0.0	-104.5	14.0	8.8	0	0.0
0.0	-104.2	14.0	8.8	0	0.0
0.0	-103.9	14.0	10.1	0	0.0
0.0	-103.6	14.0	10.1	0	0.0
0.0	-103.2	14.0	11.3	0	0.0
0.0	-102.9	14.0	10.1	0	0.0
0.0	-102.6	14.0	10.1	0	0.0
0.0	-102.2	14.0	10.1	0	0.0
0.0	-101.9	14.0	11.3	0	0.0
0.0	-101.4	14.0	12.6	0	0.0
0.0	-101.1	14.0	11.3	0	0.0
0.0	-100.6	14.0	12.6	0	0.0
0.0	-100.2	14.0	11.3	0	0.0
0.0	-99.6	14.0	12.6	0	0.0
0.0	-99.1	14.0	11.3	0	0.0
0.0	-98.6	14.0	12.6	0	0.0
0.0	-98.3	14.0	11.3	0	0.0
0.0	-98.0	14.0	11.3	0	0.0
0.0	-97.7	14.0	11.3	0	0.0
0.0	-97.3	14.0	10.1	0	0.0
0.0	-96.8	14.0	12.6	0	0.0
0.0	-96.5	14.0	12.6	0	0.0
0.0	-96.1	14.0	10.1	0	0.0
0.0	-95.8	14.0	11.3	0	0.0
0.0	-95.3	14.0	12.6	0	0.0
0.0	-94.7	14.0	11.3	0	0.0
0.0	-94.3	14.0	11.3	0	0.0
0.0	-93.8	14.0	12.6	0	0.0
0.0	-93.5	14.0	11.3	0	0.0
0.0	-93.0	14.0	11.3	0	0.0
0.0	-92.5	14.0	12.6	0	0.0
0.0	-92.2	14.0	13.9	0	0.0
0.0	-91.7	14.0	13.9	0	0.0
0.0	-91.2	14.0	12.6	0	0.0
0.0	-90.7	14.0	13.9	0	0.0
0.0	-90.4	14.0	13.9	0	0.0
0.0	-90.1	14.0	13.9	0	0.0
0.0	-89.7	14.0	13.9	0	0.0
0.0	-89.4	14.0	13.9	0	0.0
0.0	-88.9	14.0	13.9	0	0.0
0.0	-88.6	14.0	11.3	0	0.0
0.0	-88.2	14.0	11.3	0	0.0
0.0	-87.9	14.0	12.6	0	0.0
0.0	-87.4	14.0	12.6	0	0.0
0.0	-87.1	14.0	11.3	0	0.0
0.0	-86.6	14.0	10.1	0	0.0
0.0	-86.1	14.0	11.3	0	0.0
0.0	-85.8	14.0	10.1	0	0.0
0.0	-85.5	14.0	11.3	0	0.0
0.0	-85.1	14.0	8.8	0	0.0
0.0	-84.6	14.0	12.6	0	0.0
0.0	-84.3	14.0	11.3	0	0.0
0.0	-84.0	14.0	10.1	0	0.0
0.0	-83.5	14.0	10.1	0	0.0
0.0	-83.1	14.0	11.3	0	0.0
0.0	-82.5	14.0	11.3	0	0.0
0.0	-82.2	14.0	8.8	0	0.0
0.0	-81.8	14.0	10.1	0	0.0
0.0	-81.4	14.0	11.3	0	0.0
0.0	-81.0	14.0	10.1	0	0.0
0.0	-80.7	14.0	10.1	0	0.0
0.0	-80.4	14.0	10.1	0	0.0
0.0	-80.0	14.0	8.8	0	0.0
0.0	-79.7	14.0	10.1	0	0.0
0.0	-79.2	14.0	8.8	0	0.0
0.0	-78.7	14.0	7.5	0	0.0
0.0	-78.2	14.0	10.1	0	0.0
0.0	-77.7	14.0	8.8	0	0.0
0.0	-77.4	14.0	8.8	0	0.0
0.0	-77.1	14.0	10.1	0	0.0
0.0	-76.7	14.0	10.1	0	0.0
0.0	-76.4	14.0	11.3	0	0.0
0.0	-75.9	14.0	8.8	0	0.0
0.0	-75.6	14.0	10.1	0	0.0
0.0	-75.1	14.0	10.1	0	0.0
0.0	-74.6	14.0	11.3	0	0.0
0.0	-74.1	14.0	10.1	0	0.0
0.0	-73.8	14.0	11.3	0	0.0
0.0	-73.5	14.0	11.3	0	0.0
0.0	-73.1	14.0	12.6	0	0.0
0.0	-72.6	14.0	13.9	0	0.0
0.0	-72.1	14.0	13.9	0	0.0
0.0	-71.6	14.0	16.4	0	0.0
0.0	-71.1	14.0	16.4	0	0.0
0.0	-70.8	14.0	17.7	0	0.0
0.0	-70.5	14.0	21.5	0	0.0
0.0	-70.0	14.0	24.0	0	0.0
0.0	-69.5	14.0	26.5	0	0.0
0.0	-69.0	14.0	31.6	0	0.0
0.0	-68.5	14.0	36.7	0	0.0
0.0	-68.2	14.0	36.7	0	0.0
0.0	-67.7	14.0	44.3	0	0.0
0.0	-67.4	14.0	48.1	0	0.0
0.0	-67.0	14.0	50.6	0	0.0
0.0	-66.7	14.0	56.9	0	0.0
0.0	-66.4	14.0	62.0	0	0.0
0.0	-66.0	14.0	67.0	0	0.0
0.0	-65.7	14.0	73.4	0	0.0
0.0	-65.4	14.0	79.7	0	0.0
0.0	-65.0	14.0	91.1	0	0.0
0.0	-64.6	14.0	97.4	0	0.0
0.0	-64.2	14.0	110.1	0	0.0
0.0	-63.9	14.0	115.1	0	0.0
0.0	-63.6	14.0	124.0	0	0.0
0.0	-63.1	14.0	140.5	0	0.0
0.0	-62.6	14.0	162.0	0	0.0
0.0	-62.1	14.0	182.2	0	0.0
0.0	-61.6	14.0	211.3	0	0.0
0.0	-61.1	14.0	234.1	0	0.0
0.0	-60.8	14.0	251.8	0	0.0
0.0	-60.3	14.0	288.6	0	0.0
0.0	-59.8	14.0	327.8	0	0.0
0.0	-59.3	14.0	378.4	0	0.0
0.0	-59.0	14.0	410.1	0	0.0
0.0	-58.6	14.0	456.9	0	0.0
0.0	-58.2	14.0	482.2	0	0.0
0.0	-57.8	14.0	544.3	0	0.0
0.0	-57.5	14.0	579.7	0	0.0
0.0	-57.0	14.0	643.0	0	0.0
0.0	-56.5	14.0	721.5	0	0.0
0.0	-56.2	14.0	769.6	0	0.0
0.0	-55.7	14.0	851.8	0	0.0
0.0	-55.2	14.0	946.8	0	0.0
0.0	-54.9	14.0	992.4	0	0.0
0.0	-54.5	14.0	1077.2	0	0.0
0.0	-54.0	14.0	1170.8	0	0.0
0.0	-53.6	14.0	1226.5	0	0.0
0.0	-53.2	14.0	1327.8	0	0.0
0.0	-52.7	14.0	1420.2	0	0.0
0.0	-52.4	14.0	1478.4	0	0.0
0.0	-52.1	14.0	1516.4	0	0.0
0.0	-51.7	14.0	1573.4	0	0.0
0.0	-51.4	14.0	1613.9	0	0.0
0.0	-51.1	14.0	1662.0	0	0.0
0.0	-50.8	14.0	1694.9	0	0.0
0.0	-50.4	14.0	1755.6	0	0.0
0.0	-50.1	14.0	1791.1	0	0.0
0.0	-49.8	14.0	1815.1	0	0.0
0.0	-49.4	14.0	1865.8	0	0.0
0.0	-48.9	14.0	1911.3	0	0.0
