12/6/2013 3:12:29 PM

Radiation device:	U04 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Beam
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	0.0	350.0	23.6	55451	20.4
0.0	0.0	349.6	23.7	55539	20.4
0.0	0.0	348.7	24.0	56213	20.6
0.0	0.0	348.4	24.1	56415	20.6
0.0	0.0	347.8	24.1	56638	20.7
0.0	0.0	347.0	24.0	56322	20.7
0.0	0.0	346.5	24.3	56983	20.8
0.0	0.0	346.1	24.4	57163	20.9
0.0	0.0	345.8	24.4	57235	20.9
0.0	0.0	345.4	24.4	57332	20.9
0.0	0.0	344.8	24.6	57592	21.1
0.0	0.0	344.2	24.6	57703	21.1
0.0	0.0	343.7	24.8	58093	21.2
0.0	0.0	343.2	24.7	57931	21.2
0.0	0.0	342.7	24.8	58198	21.2
0.0	0.0	342.2	25.0	58574	21.4
0.0	0.0	341.7	25.0	58551	21.3
0.0	0.0	341.2	25.0	58744	21.4
0.0	0.0	340.7	25.1	58917	21.5
0.0	0.0	340.2	25.0	58696	21.4
0.0	0.0	339.7	25.3	59335	21.6
0.0	0.0	339.2	25.3	59296	21.6
0.0	0.0	338.6	25.4	59639	21.7
0.0	0.0	338.1	25.5	59693	21.7
0.0	0.0	337.6	25.6	60096	21.9
0.0	0.0	337.1	25.6	59958	21.8
0.0	0.0	336.6	25.7	60176	21.9
0.0	0.0	336.1	25.8	60460	22.0
0.0	0.0	335.6	25.9	60682	22.1
0.0	0.0	335.1	25.9	60801	22.1
0.0	0.0	334.6	26.0	61057	22.2
0.0	0.0	334.1	25.9	60861	22.1
0.0	0.0	333.6	26.1	61183	22.2
0.0	0.0	333.1	26.1	61320	22.3
0.0	0.0	332.6	26.3	61791	22.5
0.0	0.0	332.1	26.3	61696	22.4
0.0	0.0	331.5	26.5	62141	22.6
0.0	0.0	331.0	26.4	61910	22.5
0.0	0.0	330.5	26.5	62125	22.6
0.0	0.0	330.0	26.6	62423	22.7
0.0	0.0	329.5	26.6	62420	22.7
0.0	0.0	329.0	26.8	62876	22.9
0.0	0.0	328.5	26.8	62913	22.9
0.0	0.0	328.0	26.8	62947	22.9
0.0	0.0	327.4	26.9	63130	22.9
0.0	0.0	326.9	27.0	63257	23.0
0.0	0.0	326.4	27.1	63451	23.1
0.0	0.0	325.9	27.1	63636	23.1
0.0	0.0	325.4	27.2	63796	23.2
0.0	0.0	324.9	27.3	63936	23.2
0.0	0.0	324.4	27.4	64153	23.3
0.0	0.0	323.9	27.5	64451	23.4
0.0	0.0	323.4	27.5	64410	23.4
0.0	0.0	322.9	27.6	64755	23.5
0.0	0.0	322.4	27.7	65071	23.6
0.0	0.0	321.9	27.9	65397	23.8
0.0	0.0	321.4	27.8	65088	23.6
0.0	0.0	320.9	28.0	65628	23.8
0.0	0.0	320.4	28.1	65819	23.9
0.0	0.0	319.9	28.2	66058	24.0
0.0	0.0	319.3	28.2	66139	24.0
0.0	0.0	318.8	28.2	66258	24.1
0.0	0.0	318.3	28.3	66302	24.1
0.0	0.0	317.8	28.4	66549	24.2
0.0	0.0	317.3	28.3	66364	24.1
0.0	0.0	316.8	28.5	66955	24.3
0.0	0.0	316.3	28.6	67155	24.4
0.0	0.0	315.8	28.7	67226	24.4
0.0	0.0	315.2	28.6	67083	24.4
0.0	0.0	314.7	28.7	67394	24.5
0.0	0.0	314.2	28.9	67711	24.6
0.0	0.0	313.7	29.0	68069	24.7
0.0	0.0	313.2	29.1	68226	24.8
0.0	0.0	312.7	29.1	68235	24.8
0.0	0.0	312.1	29.2	68505	24.9
0.0	0.0	311.6	29.2	68535	24.9
0.0	0.0	311.2	29.3	68705	24.9
0.0	0.0	310.6	29.4	68991	25.0
0.0	0.0	310.1	29.6	69515	25.2
0.0	0.0	309.6	29.7	69629	25.3
0.0	0.0	309.1	29.7	69696	25.3
0.0	0.0	308.6	29.8	69940	25.4
0.0	0.0	308.1	29.9	70233	25.5
0.0	0.0	307.6	30.0	70295	25.5
0.0	0.0	307.1	30.1	70647	25.6
0.0	0.0	306.6	30.1	70675	25.6
0.0	0.0	306.1	30.3	71103	25.8
0.0	0.0	305.6	30.3	71127	25.8
0.0	0.0	305.1	30.4	71383	25.9
0.0	0.0	304.6	30.5	71535	26.0
0.0	0.0	304.1	30.5	71599	26.1
0.0	0.0	303.6	30.6	71815	26.1
0.0	0.0	303.1	30.7	71953	26.1
0.0	0.0	302.5	30.9	72487	26.3
0.0	0.0	302.1	31.0	72666	26.3
0.0	0.0	301.5	31.1	72951	26.4
0.0	0.0	301.1	31.1	72908	26.5
0.0	0.0	300.5	31.1	72877	26.4
0.0	0.0	300.0	31.3	73383	26.6
0.0	0.0	299.5	31.4	73604	26.7
0.0	0.0	299.0	31.4	73744	26.7
0.0	0.0	298.5	31.4	73752	26.7
0.0	0.0	298.0	31.5	73942	26.8
0.0	0.0	297.5	31.6	74087	26.9
0.0	0.0	297.0	31.8	74633	27.0
0.0	0.0	296.5	31.8	74613	27.0
0.0	0.0	296.0	31.9	74859	27.2
0.0	0.0	295.4	32.0	75109	27.2
0.0	0.0	294.9	32.0	75147	27.2
0.0	0.0	294.4	32.2	75600	27.4
0.0	0.0	293.9	32.2	75598	27.4
0.0	0.0	293.4	32.2	75467	27.4
0.0	0.0	292.9	32.4	75907	27.6
0.0	0.0	292.4	32.3	75834	27.6
0.0	0.0	291.8	32.5	76198	27.7
0.0	0.0	291.3	32.7	76734	27.8
0.0	0.0	290.8	32.8	77005	27.9
0.0	0.0	290.3	32.8	76930	27.9
0.0	0.0	289.8	33.0	77304	28.0
0.0	0.0	289.3	33.2	77871	28.2
0.0	0.0	288.8	33.3	78054	28.3
0.0	0.0	288.3	33.4	78435	28.4
0.0	0.0	287.8	33.3	78217	28.3
0.0	0.0	287.2	33.4	78268	28.4
0.0	0.0	286.7	33.6	78771	28.6
0.0	0.0	286.3	33.7	78932	28.6
0.0	0.0	285.7	33.7	79089	28.7
0.0	0.0	285.2	33.8	79209	28.7
0.0	0.0	284.7	33.9	79525	28.8
0.0	0.0	284.2	33.9	79469	28.9
0.0	0.0	283.7	34.2	80280	29.1
0.0	0.0	283.2	34.3	80355	29.1
0.0	0.0	282.7	34.4	80605	29.2
0.0	0.0	282.2	34.4	80787	29.3
0.0	0.0	281.7	34.4	80711	29.3
0.0	0.0	281.2	34.7	81285	29.5
0.0	0.0	280.7	34.6	81177	29.4
0.0	0.0	280.2	34.9	81787	29.6
0.0	0.0	279.7	34.9	81842	29.6
0.0	0.0	279.1	35.0	82011	29.7
0.0	0.0	278.7	35.1	82305	29.8
0.0	0.0	278.2	35.2	82539	29.9
0.0	0.0	277.7	35.2	82608	29.9
0.0	0.0	277.2	35.3	82906	30.0
0.0	0.0	276.7	35.4	82960	30.0
0.0	0.0	276.1	35.4	83143	30.1
0.0	0.0	275.7	35.6	83600	30.2
0.0	0.0	275.2	35.7	83847	30.4
0.0	0.0	274.6	35.9	84107	30.4
0.0	0.0	274.1	36.0	84451	30.5
0.0	0.0	273.6	36.0	84546	30.5
0.0	0.0	273.1	36.1	84664	30.7
0.0	0.0	272.6	36.2	84962	30.7
0.0	0.0	272.1	36.3	85050	30.8
0.0	0.0	271.6	36.5	85575	30.9
0.0	0.0	271.1	36.7	85982	31.0
0.0	0.0	270.5	36.6	85821	31.1
0.0	0.0	270.0	36.6	85842	31.2
0.0	0.0	269.5	36.8	86397	31.3
0.0	0.0	269.0	36.9	86627	31.4
0.0	0.0	268.5	37.1	87100	31.5
0.0	0.0	268.0	37.3	87546	31.6
0.0	0.0	267.5	37.5	87921	31.8
0.0	0.0	267.0	37.3	87414	31.6
0.0	0.0	266.5	37.5	87885	31.8
0.0	0.0	266.0	37.6	88112	31.8
0.0	0.0	265.5	37.7	88382	31.9
0.0	0.0	265.0	37.7	88535	32.0
0.0	0.0	264.5	37.9	88980	32.1
0.0	0.0	264.0	38.1	89295	32.2
0.0	0.0	263.5	38.2	89523	32.3
0.0	0.0	263.0	38.1	89304	32.3
0.0	0.0	262.5	38.2	89610	32.4
0.0	0.0	261.9	38.3	89858	32.5
0.0	0.0	261.4	38.5	90273	32.6
0.0	0.0	260.9	38.6	90609	32.6
0.0	0.0	260.4	38.7	90780	32.7
0.0	0.0	259.9	38.8	91036	32.8
0.0	0.0	259.4	38.8	91070	32.8
0.0	0.0	258.9	39.0	91511	33.0
0.0	0.0	258.4	38.9	91159	33.0
0.0	0.0	257.9	38.9	91331	33.1
0.0	0.0	257.4	39.1	91690	33.2
0.0	0.0	256.9	39.4	92465	33.4
0.0	0.0	256.4	39.5	92618	33.4
0.0	0.0	255.9	39.7	93162	33.6
0.0	0.0	255.4	39.8	93347	33.6
0.0	0.0	254.9	39.9	93648	33.7
0.0	0.0	254.4	40.1	94026	33.9
0.0	0.0	253.8	40.0	93884	33.9
0.0	0.0	253.3	40.2	94249	34.1
0.0	0.0	252.8	40.4	94723	34.2
0.0	0.0	252.3	40.5	94959	34.3
0.0	0.0	251.8	40.6	95283	34.3
0.0	0.0	251.3	40.9	95968	34.6
0.0	0.0	250.8	40.9	95875	34.6
0.0	0.0	250.3	41.1	96409	34.7
0.0	0.0	249.8	41.0	96122	34.7
0.0	0.0	249.3	41.2	96577	34.8
0.0	0.0	248.8	41.3	96762	34.9
0.0	0.0	248.3	41.4	96995	34.9
0.0	0.0	247.7	41.7	97751	35.3
0.0	0.0	247.2	41.8	98012	35.3
0.0	0.0	246.7	42.0	98545	35.4
0.0	0.0	246.2	41.9	98255	35.4
0.0	0.0	245.7	42.1	98729	35.5
0.0	0.0	245.2	42.0	98473	35.5
0.0	0.0	244.7	42.2	99089	35.7
0.0	0.0	244.2	42.4	99336	35.8
0.0	0.0	243.7	42.7	100198	36.1
0.0	0.0	243.2	42.5	99686	35.9
0.0	0.0	242.7	42.8	100331	36.1
0.0	0.0	242.2	42.9	100553	36.2
0.0	0.0	241.7	42.9	100510	36.2
0.0	0.0	241.2	42.9	100691	36.3
0.0	0.0	240.6	43.3	101515	36.7
0.0	0.0	240.1	43.3	101477	36.6
0.0	0.0	239.6	43.5	102128	36.8
0.0	0.0	239.1	43.6	102282	36.8
0.0	0.0	238.6	43.8	102796	37.0
0.0	0.0	238.1	43.9	102873	37.0
0.0	0.0	237.6	44.1	103389	37.2
0.0	0.0	237.1	44.1	103485	37.2
0.0	0.0	236.6	44.2	103598	37.3
0.0	0.0	236.0	44.4	104087	37.5
0.0	0.0	235.5	44.5	104411	37.5
0.0	0.0	235.0	44.6	104619	37.6
0.0	0.0	234.5	44.7	104940	37.7
0.0	0.0	234.0	44.8	105100	37.8
0.0	0.0	233.5	44.7	104789	37.8
0.0	0.0	233.0	44.9	105252	37.9
0.0	0.0	232.5	45.1	105782	38.1
0.0	0.0	231.9	45.3	106316	38.2
0.0	0.0	231.4	45.3	106304	38.3
0.0	0.0	230.9	45.5	106696	38.4
0.0	0.0	230.4	45.7	107165	38.5
0.0	0.0	229.9	45.7	107207	38.6
0.0	0.0	229.4	45.8	107513	38.7
0.0	0.0	228.9	46.1	108108	38.8
0.0	0.0	228.4	46.3	108609	39.0
0.0	0.0	227.9	46.4	108917	39.1
0.0	0.0	227.4	46.5	108963	39.2
0.0	0.0	226.9	46.5	109028	39.2
0.0	0.0	226.4	46.7	109602	39.4
0.0	0.0	225.9	46.8	109808	39.4
0.0	0.0	225.4	47.0	110196	39.6
0.0	0.0	224.9	47.2	110737	39.7
0.0	0.0	224.4	47.5	111303	39.9
0.0	0.0	223.8	47.5	111449	40.0
0.0	0.0	223.3	47.6	111661	40.0
0.0	0.0	222.8	47.8	112161	40.1
0.0	0.0	222.3	47.9	112338	40.3
0.0	0.0	221.8	47.9	112459	40.4
0.0	0.0	221.3	48.1	112714	40.5
0.0	0.0	220.8	48.1	112757	40.5
0.0	0.0	220.3	48.4	113562	40.7
0.0	0.0	219.8	48.5	113804	40.9
0.0	0.0	219.2	48.4	113592	40.8
0.0	0.0	218.7	48.7	114243	41.0
0.0	0.0	218.2	49.1	115086	41.2
0.0	0.0	217.7	49.1	115255	41.3
0.0	0.0	217.2	49.1	115272	41.5
0.0	0.0	216.7	49.0	114980	41.5
0.0	0.0	216.1	49.4	115894	41.6
0.0	0.0	215.6	50.0	117235	42.0
0.0	0.0	215.1	49.9	116953	41.9
0.0	0.0	214.6	49.9	117121	42.0
0.0	0.0	214.1	50.2	117733	42.2
0.0	0.0	213.6	50.2	117834	42.3
0.0	0.0	213.1	50.5	118468	42.4
0.0	0.0	212.6	50.5	118487	42.4
0.0	0.0	212.0	50.7	118898	42.6
0.0	0.0	211.5	50.7	118898	42.7
0.0	0.0	211.0	50.9	119295	42.8
0.0	0.0	210.5	51.0	119672	43.0
0.0	0.0	210.0	51.1	119744	42.9
0.0	0.0	209.5	51.2	120204	43.2
0.0	0.0	209.0	51.5	120884	43.3
0.0	0.0	208.5	51.6	121129	43.5
0.0	0.0	208.0	51.8	121551	43.5
0.0	0.0	207.5	51.9	121778	43.6
0.0	0.0	207.0	52.0	122029	43.7
0.0	0.0	206.5	52.2	122382	43.7
0.0	0.0	206.0	52.5	123223	44.0
0.0	0.0	205.5	52.6	123326	44.2
0.0	0.0	205.0	52.4	122923	44.2
0.0	0.0	204.4	52.7	123670	44.3
0.0	0.0	203.9	52.8	123952	44.4
0.0	0.0	203.4	53.0	124340	44.6
