2/6/2014 4:23:59 PM

Radiation device:	U04 Accelerator
Energy:	18 MeV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	ParallelPlate
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	200 x 200 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Beam
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	0.0	140.0	2.9	18786	2.1
0.0	0.0	139.6	2.8	17982	2.1
0.0	0.0	138.7	3.1	19682	2.1
0.0	0.0	138.1	3.0	19357	2.1
0.0	0.0	137.6	3.0	19460	2.2
0.0	0.0	137.2	3.1	19556	2.2
0.0	0.0	136.8	3.0	19499	2.2
0.0	0.0	136.4	3.0	19491	2.2
0.0	0.0	135.9	3.1	19945	2.3
0.0	0.0	135.3	3.1	19668	2.2
0.0	0.0	134.8	3.1	19731	2.2
0.0	0.0	134.3	3.1	19827	2.2
0.0	0.0	133.8	3.1	19919	2.2
0.0	0.0	133.3	3.1	19976	2.3
0.0	0.0	132.8	2.8	18125	2.2
0.0	0.0	132.3	3.1	19888	2.2
0.0	0.0	131.8	3.2	20355	2.3
0.0	0.0	131.2	3.1	20101	2.2
0.0	0.0	130.7	3.2	20402	2.3
0.0	0.0	130.2	3.1	20129	2.3
0.0	0.0	129.7	3.2	20469	2.3
0.0	0.0	129.2	3.2	20363	2.3
0.0	0.0	128.7	3.2	20321	2.3
0.0	0.0	128.2	3.2	20379	2.3
0.0	0.0	127.7	3.2	20667	2.3
0.0	0.0	127.2	3.2	20746	2.3
0.0	0.0	126.7	3.2	20543	2.3
0.0	0.0	126.2	3.3	20817	2.3
0.0	0.0	125.7	3.3	20891	2.3
0.0	0.0	125.2	3.2	20578	2.3
0.0	0.0	124.7	3.3	21061	2.4
0.0	0.0	124.2	3.3	20997	2.4
0.0	0.0	123.7	3.3	21118	2.4
0.0	0.0	123.1	3.3	21118	2.4
0.0	0.0	122.6	3.3	21131	2.4
0.0	0.0	122.1	3.3	21190	2.4
0.0	0.0	121.6	3.3	21104	2.4
0.0	0.0	121.1	3.3	21365	2.4
0.0	0.0	120.6	3.4	21574	2.4
0.0	0.0	120.1	3.3	21437	2.4
0.0	0.0	119.6	3.4	21603	2.4
0.0	0.0	119.1	3.4	21497	2.4
0.0	0.0	118.6	3.4	21711	2.4
0.0	0.0	118.1	3.4	21724	2.4
0.0	0.0	117.6	3.4	21785	2.4
0.0	0.0	117.1	3.4	22030	2.5
0.0	0.0	116.6	3.5	22120	2.5
0.0	0.0	116.1	3.5	22154	2.5
0.0	0.0	115.6	3.4	22050	2.5
0.0	0.0	115.1	3.5	22104	2.5
0.0	0.0	114.6	3.4	22031	2.5
0.0	0.0	114.1	3.5	22185	2.5
0.0	0.0	113.6	3.5	22310	2.5
0.0	0.0	113.1	3.5	22626	2.5
0.0	0.0	112.6	3.5	22418	2.5
0.0	0.0	112.1	3.5	22509	2.5
0.0	0.0	111.6	3.5	22646	2.5
0.0	0.0	111.0	3.5	22641	2.5
0.0	0.0	110.5	3.5	22431	2.5
0.0	0.0	110.0	3.5	22668	2.5
0.0	0.0	109.5	3.6	23017	2.6
0.0	0.0	109.0	3.6	22829	2.6
0.0	0.0	108.5	3.6	22994	2.6
0.0	0.0	108.0	3.6	22981	2.6
0.0	0.0	107.5	3.6	22792	2.6
0.0	0.0	107.0	3.6	23367	2.6
0.0	0.0	106.5	3.6	23061	2.6
0.0	0.0	106.0	3.6	23232	2.6
0.0	0.0	105.5	3.6	23295	2.6
0.0	0.0	105.0	3.7	23560	2.6
0.0	0.0	104.5	3.7	23569	2.6
0.0	0.0	104.0	3.7	23541	2.6
0.0	0.0	103.5	3.7	23737	2.7
0.0	0.0	103.0	3.7	23873	2.7
0.0	0.0	102.5	3.7	23774	2.7
0.0	0.0	102.0	3.7	23985	2.7
0.0	0.0	101.5	3.8	24044	2.7
0.0	0.0	101.0	3.8	24135	2.7
0.0	0.0	100.4	3.8	24234	2.7
0.0	0.0	99.9	3.8	24445	2.7
0.0	0.0	99.4	3.8	24409	2.7
0.0	0.0	98.9	3.9	24686	2.8
0.0	0.0	98.4	3.9	24850	2.8
0.0	0.0	97.9	3.9	24949	2.8
0.0	0.0	97.4	3.9	25128	2.8
0.0	0.0	96.9	4.0	25339	2.8
0.0	0.0	96.4	4.0	25639	2.9
0.0	0.0	95.9	4.0	25828	2.9
0.0	0.0	95.4	4.1	26337	3.0
0.0	0.0	94.9	4.1	26516	3.0
0.0	0.0	94.4	4.3	27366	3.1
0.0	0.0	93.9	4.3	27581	3.1
0.0	0.0	93.4	4.4	28215	3.2
0.0	0.0	92.9	4.5	29076	3.3
0.0	0.0	92.4	4.7	30143	3.4
0.0	0.0	91.9	4.9	31489	3.5
0.0	0.0	91.4	5.0	31914	3.6
0.0	0.0	90.9	5.2	32992	3.7
