Measurement time:	12/6/2018 12:00:35 PM
Radiation device:	U03 Accelerator
Energy:	6 MV 
Controller:	CCU
Measurement device:	Blue Phantom 2  (48*48*41)
Field detector:	CC 04
Reference detector:	Stealth_1
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Beam
Scan mode:	Continuous
Wedge:	none

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	0.0	310.0	30.94	66880.5	30.88
0.0	0.0	309.1	33.26	71901.0	32.88
0.0	0.0	307.5	33.56	72553.1	33.13
0.0	0.0	306.3	33.85	73185.2	33.54
0.0	0.0	305.3	34.43	74445.1	34.09
0.0	0.0	304.4	34.10	73729.2	33.65
0.0	0.0	303.5	34.58	74751.4	34.19
0.0	0.0	302.6	34.56	74707.3	34.13
0.0	0.0	301.5	34.80	75229.6	34.40
0.0	0.0	300.5	34.86	75358.3	34.27
0.0	0.0	299.4	35.07	75819.4	34.54
0.0	0.0	298.4	35.21	76113.0	34.99
0.0	0.0	297.4	35.79	77369.6	35.45
0.0	0.0	296.4	35.53	76821.9	35.05
0.0	0.0	295.4	36.03	77894.4	35.52
0.0	0.0	294.4	35.85	77504.3	35.21
0.0	0.0	293.4	36.12	78084.6	35.69
0.0	0.0	292.4	36.67	79268.3	36.15
0.0	0.0	291.4	36.42	78747.2	35.97
0.0	0.0	290.4	36.88	79732.2	36.43
0.0	0.0	289.4	37.13	80267.1	36.79
0.0	0.0	288.4	37.23	80492.0	36.76
0.0	0.0	287.4	37.35	80739.5	36.85
0.0	0.0	286.4	37.71	81517.0	37.20
0.0	0.0	285.4	37.76	81641.0	37.32
0.0	0.0	284.3	37.71	81532.7	37.16
0.0	0.0	283.4	38.27	82732.4	37.50
0.0	0.0	282.4	38.57	83388.7	38.18
0.0	0.0	281.4	38.62	83493.1	38.02
0.0	0.0	280.3	38.94	84178.8	38.47
0.0	0.0	279.4	39.03	84390.4	38.42
0.0	0.0	278.4	39.38	85128.9	39.03
0.0	0.0	277.4	39.22	84800.5	38.79
0.0	0.0	276.4	39.62	85652.3	39.05
0.0	0.0	275.3	39.95	86371.3	39.49
0.0	0.0	274.4	40.30	87117.9	39.77
0.0	0.0	273.3	40.26	87032.2	39.57
0.0	0.0	272.3	40.61	87787.4	40.29
0.0	0.0	271.3	40.69	87963.0	40.23
0.0	0.0	270.3	41.12	88897.6	40.68
0.0	0.0	269.3	41.08	88806.4	40.40
0.0	0.0	268.3	41.70	90160.2	41.08
0.0	0.0	267.3	41.62	89981.0	41.08
0.0	0.0	266.3	42.01	90818.6	41.46
0.0	0.0	265.3	42.01	90831.1	41.40
0.0	0.0	264.3	42.23	91300.8	41.75
0.0	0.0	263.3	42.47	91814.7	41.97
