Measurement time:	11/29/2018 9:52:16 AM
Radiation device:	U08 Accelerator
Energy:	6 MeV 
Controller:	CCU
Measurement device:	Blue Phantom 2  (48*48*41)
Field detector:	EFD3G s/n DEB002-3836
Reference detector:	IC-15 s/n 3224
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Crossline
Scan mode:	Continuous
Wedge:	none

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	-110.0	20.0	0.60	9507.4	0.57
0.0	-108.9	20.0	0.53	8315.3	0.50
0.0	-107.3	20.0	0.49	7664.0	0.46
0.0	-105.6	20.0	0.48	7500.9	0.45
0.0	-104.9	20.0	0.54	8430.0	0.51
0.0	-103.7	20.0	0.52	8222.7	0.49
0.0	-102.6	20.0	0.53	8311.7	0.50
0.0	-101.5	20.0	0.55	8685.7	0.52
0.0	-100.4	20.0	0.59	9282.8	0.55
0.0	-99.4	20.0	0.56	8795.3	0.53
0.0	-98.4	20.0	0.58	9112.9	0.54
0.0	-97.4	20.0	0.58	9110.9	0.55
0.0	-96.3	20.0	0.54	8532.6	0.51
0.0	-95.4	20.0	0.58	9088.9	0.54
0.0	-94.4	20.0	0.50	7930.4	0.48
0.0	-93.4	20.0	0.53	8313.3	0.50
0.0	-92.4	20.0	0.57	8918.1	0.54
0.0	-91.4	20.0	0.54	8506.0	0.51
0.0	-90.3	20.0	0.54	8492.5	0.51
0.0	-89.3	20.0	0.54	8556.5	0.51
0.0	-88.3	20.0	0.56	8825.5	0.53
0.0	-87.3	20.0	0.61	9637.7	0.58
0.0	-86.3	20.0	0.63	9960.8	0.60
0.0	-85.2	20.0	0.53	8369.1	0.50
0.0	-84.2	20.0	0.53	8382.0	0.50
0.0	-83.2	20.0	0.54	8452.5	0.51
0.0	-82.2	20.0	0.57	8937.0	0.53
0.0	-81.2	20.0	0.58	9154.6	0.55
0.0	-80.2	20.0	0.56	8810.5	0.53
0.0	-79.1	20.0	0.59	9314.5	0.56
0.0	-78.1	20.0	0.60	9375.3	0.56
0.0	-77.1	20.0	0.63	9972.9	0.59
