Filename			C:\physics\u1\20170331\10x10 31-Mar-2017-A.prm	
TimeStamp		3/31/2017 14:38:38	3/31/2017 11:41:20	
Description				
Institution			UMCU	
Software Version		3.4.2.25716	3.4.2.25716	
Machine Setup:
Room			U1	
Machine Type			MRL	
Machine Model			MRL	
Machine Serial Number			1234	
Beam Type		Undefined	X-Ray FFF	
Energy		0	7	
Wedge Angle	deg	0	0	
Wedge Type	deg	None	None	
Gantry Angle	deg	0	0	
Collimator Angle	deg	0	0	
Collimator Left	cm	0	5	
Collimator Right	cm	0	5	
Collimator Top	cm	0	5	
Collimator Bottom	cm	0	5	
Rate	MU/min	0	780	
Dose	MU	0	100	
Field Size	MU	0 x 0	10 x 10	
Collector Setup:
Orientation		Y Axis	Y Axis	
Tray Mount		No	No	
SSD	cm	100.000	141.500	
Alignment	cm	Light Field	Cross Hair	
Buildup	cm	0.000	2.000	
Buildup Type	cm	WaterEquiv	WaterEquiv	
Calibration File	cm		C:\SNC\Profiler\Factors\6264302\6MV 28-03-2017 U05.cal	
Collector Config:
Collector Model		IC PROFILER	IC PROFILER	
Collector Serial		0	6264302	
Collector Revision			F	
Firmware Version	ms	0.0.0	2.5.6	
Measurement Mode	ms	Pulsed	Pulsed	
Nominal Gain	ms	1	4	
Collection Interval	ms	125	125	
General Analysis
CAX Dose		0	75.86868288	
Photon Wedge Angle		0	0	
Analysis Config		Custom	Custom	
Flatness type		Variance	Variance	
Symmetry Type		Area (sym)	Area (sym)	
Energy Calibration				
Energy Analysis		Intercept	Intercept	
Penumbra Top		80	80	
Penumbra Bottom		20	20	
Flatness Field Percent		80	80	
Symmetry Field Percent		80	80	
Base Intensity Point		MAX	MAX	
Intensity Field Percentage		50	50	
X Axis Analysis
Field Size	cm	0	9.78476	
Beam Center	cm	0	0.062105	
Light/Rad Coinc. Bottom	cm	0	-2.24472	
Light/Rad Coinc. Top	cm	0	-2.12051	
Penumbra Bottom	cm	0	0.711375	
Penumbra Top	cm	0	0.641619	
Flatness Result	perc	0	5.78103	
Symmetry Result	perc	0	-0.659916	
Electron Energy	Ep0			
Electron Energy	D80			
Y Axis Analysis
Field Size	cm	0	9.82282	
Beam Center	cm	0	0.0832207	
Light/Rad Coinc. Bottom	cm	0	-2.24681	
Light/Rad Coinc. Top	cm	0	-2.08037	
Penumbra Bottom	cm	0	0.61638	
Penumbra Top	cm	0	0.563118	
Flatness Result	perc	0	4.99285	
Symmetry Result	perc	0	-0.44099	
Electron Energy	Ep0			
Electron Energy	D80			
Positive Diagonal Analysis
Field Size	cm	0	13.5321	
Beam Center	cm	0	0.120235	
Light/Rad Coinc. Bottom	cm	0	-3.35973	
Light/Rad Coinc. Top	cm	0	-3.11926	
Penumbra Bottom	cm	0	0.956119	
Penumbra Top	cm	0	0.893815	
Flatness Result	perc	0	7.46308	
Symmetry Result	perc	0	-0.419973	
Electron Energy	Ep0			
Electron Energy	D80			
Negative Diagonal Analysis
Field Size	cm	0	13.5131	
Beam Center	cm	0	-0.0369649	
Light/Rad Coinc. Bottom	cm	0	-3.21207	
Light/Rad Coinc. Top	cm	0	-3.286	
Penumbra Bottom	cm	0	0.975794	
Penumbra Top	cm	0	0.944294	
Flatness Result	perc	0	7.09803	
Symmetry Result	perc	0	0.137219	
Electron Energy	Ep0			
Electron Energy	D80			
Measured Data:	Total Dose-Normalized (%)
Pulses:		0	2118
TimerTics	(1 uSec)	0	7875686

Detector ID	X Axis Position(cm)	Room 	Room U1
	-16.00	0.00000000	1.18163644	
	-15.50	0.00000000	1.26779734	
