Delivery System	U09	
Energy	10 MV	
Scan Type	Crossline	
Depth	5.00	
Field	21cm x 16cm (Jaws)	
Wedge	Open Field	
Comments	26x26 cr	

	5.00 cm : ScanId=407	
-16.0589329	3.06	
-16.0489329	3.05	
-16.0389329	3.05	
-16.0289329	3.05	
-16.0189329	3.06	
-16.0089329	3.06	
-15.9989329	3.06	
-15.9889329	3.06	
-15.9789329	3.06	
-15.9689329	3.06	
-15.9589329	3.06	
-15.9489329	3.11	
-15.9389329	3.07	
-15.9289329	3.08	
-15.9189329	3.09	
-15.9089329	3.10	
-15.8989329	3.11	
-15.8889329	3.12	
-15.8789329	3.13	
-15.8689329	3.14	
-15.8589329	3.15	
-15.8489329	3.16	
-15.8389329	3.16	
-15.8289329	3.18	
-15.8189329	3.19	
-15.8089329	3.20	
-15.7989329	3.21	
-15.7889329	3.21	
-15.7789329	3.22	
-15.7689329	3.23	
-15.7589329	3.24	
-15.7489329	3.24	
-15.7389329	3.25	
-15.7289329	3.25	
-15.7189329	3.26	
-15.7089329	3.27	
-15.6989329	3.27	
-15.6889329	3.28	
-15.6789329	3.29	
-15.6689329	3.29	
-15.6589329	3.30	
-15.6489329	3.30	
-15.6389329	3.31	
-15.6289329	3.31	
-15.6189329	3.33	
-15.6089329	3.33	
-15.5989329	3.33	
-15.5889329	3.34	
-15.5789329	3.35	
-15.5689329	3.36	
-15.5589329	3.37	
-15.5489329	3.37	
-15.5389329	3.38	
-15.5289329	3.39	
-15.5189329	3.40	
-15.5089329	3.41	
-15.4989329	3.41	
-15.4889329	3.42	
-15.4789329	3.43	
-15.4689329	3.44	
-15.4589329	3.45	
-15.4489329	3.45	
-15.4389329	3.46	
-15.4289329	3.47	
-15.4189329	3.48	
-15.4089329	3.49	
-15.3989329	3.51	
-15.3889329	3.51	
-15.3789329	3.52	
-15.3689329	3.53	
-15.3589329	3.54	
-15.3489329	3.55	
-15.3389329	3.56	
-15.3289329	3.57	
-15.3189329	3.58	
-15.3089329	3.59	
-15.2989329	3.60	
-15.2889329	3.59	
-15.2789329	3.62	
-15.2689329	3.62	
-15.2589329	3.63	
-15.2489329	3.64	
-15.2389329	3.64	
-15.2289329	3.65	
-15.2189329	3.66	
-15.2089329	3.66	
-15.1989329	3.67	
-15.1889329	3.68	
-15.1789329	3.73	
-15.1689329	3.70	
-15.1589329	3.71	
-15.1489329	3.73	
-15.1389329	3.74	
-15.1289329	3.76	
-15.1189329	3.77	
-15.1089329	3.79	
-15.0989329	3.80	
-15.0889329	3.81	
-15.0789329	3.83	
-15.0689329	3.79	
-15.0589329	3.85	
-15.0489329	3.85	
-15.0389329	3.86	
-15.0289329	3.87	
-15.0189329	3.87	
-15.0089329	3.88	
-14.9989329	3.88	
-14.9889329	3.89	
-14.9789329	3.89	
-14.9689329	3.90	
-14.9589329	3.92	
-14.9489329	3.91	
-14.9389329	3.92	
-14.9289329	3.93	
-14.9189329	3.94	
-14.9089329	3.95	
-14.8989329	3.96	
-14.8889329	3.97	
-14.8789329	3.98	
-14.8689329	3.99	
-14.8589329	3.99	
-14.8489329	4.05	
-14.8389329	4.02	
-14.8289329	4.04	
-14.8189329	4.06	
-14.8089329	4.07	
-14.7989329	4.09	
-14.7889329	4.11	
-14.7789329	4.13	
-14.7689329	4.14	
-14.7589329	4.16	
-14.7489329	4.18	
-14.7389329	4.15	
-14.7289329	4.21	
-14.7189329	4.22	
-14.7089329	4.22	
-14.6989329	4.23	
-14.6889329	4.24	
-14.6789329	4.25	
-14.6689329	4.26	
-14.6589329	4.27	
-14.6489329	4.28	
-14.6389329	4.29	
-14.6289329	4.30	
-14.6189329	4.31	
-14.6089329	4.31	
-14.5989329	4.32	
-14.5889329	4.33	
-14.5789329	4.34	
-14.5689329	4.35	
-14.5589329	4.36	
-14.5489329	4.37	
-14.5389329	4.38	
-14.5289329	4.38	
-14.5189329	4.45	
-14.5089329	4.41	
-14.4989329	4.43	
-14.4889329	4.45	
-14.4789329	4.47	
-14.4689329	4.48	
-14.4589329	4.50	
-14.4489329	4.52	
-14.4389329	4.54	
-14.4289329	4.56	
-14.4189329	4.58	
-14.4089329	4.57	
-14.3989329	4.61	
-14.3889329	4.62	
-14.3789329	4.64	
-14.3689329	4.65	
-14.3589329	4.66	
-14.3489329	4.68	
-14.3389329	4.69	
-14.3289329	4.71	
-14.3189329	4.72	
-14.3089329	4.73	
-14.2989329	4.76	
-14.2889329	4.76	
-14.2789329	4.78	
-14.2689329	4.79	
-14.2589329	4.81	
-14.2489329	4.82	
-14.2389329	4.84	
-14.2289329	4.86	
-14.2189329	4.87	
-14.2089329	4.89	
-14.1989329	4.90	
-14.1889329	4.92	
-14.1789329	4.93	
-14.1689329	4.95	
-14.1589329	4.96	
-14.1489329	4.98	
-14.1389329	4.99	
-14.1289329	5.01	
-14.1189329	5.02	
-14.1089329	5.04	
-14.0989329	5.06	
-14.0889329	5.07	
-14.0789329	5.09	
-14.0689329	5.10	
-14.0589329	5.12	
-14.0489329	5.13	
-14.0389329	5.15	
-14.0289329	5.16	
-14.0189329	5.18	
-14.0089329	5.20	
-13.9989329	5.21	
-13.9889329	5.23	
-13.9789329	5.24	
-13.9689329	5.26	
-13.9589329	5.29	
-13.9489329	5.33	
-13.9389329	5.36	
-13.9289329	5.40	
-13.9189329	5.43	
-13.9089329	5.47	
-13.8989329	5.50	
-13.8889329	5.54	
-13.8789329	5.57	
-13.8689329	5.60	
-13.8589329	5.64	
-13.8489329	5.64	
-13.8389329	5.64	
-13.8289329	5.65	
-13.8189329	5.65	
-13.8089329	5.65	
-13.7989329	5.66	
-13.7889329	5.66	
-13.7789329	5.66	
-13.7689329	5.67	
-13.7589329	5.67	
-13.7489329	5.77	
-13.7389329	5.70	
-13.7289329	5.72	
-13.7189329	5.74	
-13.7089329	5.76	
-13.6989329	5.78	
-13.6889329	5.80	
-13.6789329	5.82	
-13.6689329	5.84	
-13.6589329	5.86	
-13.6489329	5.88	
-13.6389329	5.90	
-13.6289329	5.92	
-13.6189329	5.94	
-13.6089329	5.96	
-13.5989329	5.98	
-13.5889329	6.00	
-13.5789329	6.02	
-13.5689329	6.04	
-13.5589329	6.06	
-13.5489329	6.08	
-13.5389329	6.11	
-13.5289329	6.13	
-13.5189329	6.15	
-13.5089329	6.18	
-13.4989329	6.21	
-13.4889329	6.24	
-13.4789329	6.27	
-13.4689329	6.29	
-13.4589329	6.32	
-13.4489329	6.35	
-13.4389329	6.38	
-13.4289329	6.41	
-13.4189329	6.43	
-13.4089329	6.46	
-13.3989329	6.48	
-13.3889329	6.51	
-13.3789329	6.53	
-13.3689329	6.55	
-13.3589329	6.58	
-13.3489329	6.60	
-13.3389329	6.63	
-13.3289329	6.65	
-13.3189329	6.67	
-13.3089329	6.70	
-13.2989329	6.73	
-13.2889329	6.76	
-13.2789329	6.79	
-13.2689329	6.82	
-13.2589329	6.85	
-13.2489329	6.88	
-13.2389329	6.90	
-13.2289329000001	6.93	
-13.2189329000001	6.96	
-13.2089329000001	6.99	
-13.1989329000001	7.02	
-13.1889329000001	7.05	
-13.1789329000001	7.08	
-13.1689329000001	7.10	
-13.1589329000001	7.13	
-13.1489329000001	7.16	
-13.1389329000001	7.18	
-13.1289329000001	7.21	
-13.1189329000001	7.24	
-13.1089329000001	7.27	
-13.0989329000001	7.29	
-13.0889329000001	7.32	
-13.0789329000001	7.35	
-13.0689329000001	7.37	
-13.0589329000001	7.40	
-13.0489329000001	7.43	
-13.0389329000001	7.45	
-13.0289329000001	7.48	
-13.0189329000001	7.51	
-13.0089329000001	7.54	
-12.9989329000001	7.56	
-12.9889329000001	7.59	
-12.9789329000001	7.62	
-12.9689329000001	7.66	
-12.9589329000001	7.70	
-12.9489329000001	7.74	
-12.9389329000001	7.78	
-12.9289329000001	7.82	
-12.9189329000001	7.86	
-12.9089329000001	7.90	
-12.8989329000001	7.93	
-12.8889329000001	7.97	
-12.8789329000001	8.01	
-12.8689329000001	8.05	
-12.8589329000001	8.08	
-12.8489329000001	8.12	
