Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=35	
-31.3432151828749	3.87	
-31.3132151828749	3.84	
-31.2832151828749	3.85	
-31.2532151828749	3.86	
-31.2232151828749	3.88	
-31.1932151828749	3.90	
-31.1632151828749	3.93	
-31.1332151828749	3.96	
-31.1032151828749	3.98	
-31.0732151828749	4.01	
-31.0432151828749	4.02	
-31.0132151828749	4.04	
-30.9832151828749	4.06	
-30.9532151828749	4.08	
-30.9232151828749	4.09	
-30.8932151828749	4.10	
-30.8632151828749	4.11	
-30.8332151828749	4.13	
-30.8032151828749	4.17	
-30.7732151828749	4.21	
-30.7432151828749	4.25	
-30.7132151828749	4.29	
-30.6832151828749	4.33	
-30.6532151828749	4.35	
-30.6232151828749	4.37	
-30.5932151828749	4.39	
-30.5632151828749	4.41	
-30.5332151828749	4.46	
-30.5032151828749	4.50	
-30.4732151828749	4.54	
-30.4432151828749	4.59	
-30.4132151828749	4.61	
-30.3832151828749	4.62	
-30.3532151828749	4.63	
-30.3232151828749	4.64	
-30.2932151828749	4.65	
-30.2632151828749	4.68	
-30.2332151828749	4.70	
-30.2032151828749	4.73	
-30.1732151828749	4.75	
-30.1432151828749	4.78	
-30.1132151828749	4.82	
-30.0832151828749	4.85	
-30.0532151828749	4.88	
-30.0232151828749	4.92	
-29.9932151828749	4.95	
-29.9632151828749	4.98	
-29.9332151828749	5.02	
-29.9032151828749	5.05	
-29.8732151828749	5.09	
-29.8432151828749	5.12	
-29.8132151828748	5.16	
-29.7832151828748	5.19	
-29.7532151828748	5.23	
-29.7232151828748	5.25	
-29.6932151828748	5.28	
-29.6632151828748	5.31	
-29.6332151828748	5.34	
-29.6032151828748	5.40	
-29.5732151828748	5.45	
-29.5432151828748	5.50	
-29.5132151828748	5.55	
-29.4832151828748	5.59	
-29.4532151828748	5.61	
-29.4232151828748	5.64	
-29.3932151828748	5.67	
-29.3632151828748	5.71	
-29.3332151828748	5.76	
-29.3032151828748	5.81	
-29.2732151828748	5.86	
-29.2432151828748	5.91	
-29.2132151828748	5.94	
-29.1832151828748	5.97	
-29.1532151828748	6.00	
-29.1232151828748	6.03	
-29.0932151828748	6.07	
-29.0632151828748	6.12	
