Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=36	
-31.3453368940262		
-31.3153368940262	3.86	
-31.2853368940262	3.85	
-31.2553368940262	3.85	
-31.2253368940262	3.85	
-31.1953368940262	3.89	
-31.1653368940262	3.92	
-31.1353368940262	3.96	
-31.1053368940262	3.99	
-31.0753368940262	4.02	
-31.0453368940262	4.04	
-31.0153368940262	4.06	
-30.9853368940262	4.08	
-30.9553368940262	4.11	
-30.9253368940262	4.14	
-30.8953368940262	4.18	
-30.8653368940262	4.21	
-30.8353368940262	4.25	
-30.8053368940262	4.27	
-30.7753368940262	4.29	
-30.7453368940262	4.31	
-30.7153368940262	4.33	
-30.6853368940262	4.35	
-30.6553368940262	4.39	
-30.6253368940262	4.42	
-30.5953368940262	4.45	
-30.5653368940262	4.48	
-30.5353368940262	4.51	
-30.5053368940262	4.54	
-30.4753368940262	4.57	
-30.4453368940262	4.60	
-30.4153368940262	4.63	
-30.3853368940262	4.66	
-30.3553368940262	4.69	
-30.3253368940262	4.71	
-30.2953368940262	4.74	
-30.2653368940262	4.77	
-30.2353368940262	4.80	
-30.2053368940262	4.84	
-30.1753368940262	4.87	
-30.1453368940262	4.89	
-30.1153368940262	4.92	
-30.0853368940261	4.95	
-30.0553368940261	4.97	
-30.0253368940261	5.00	
-29.9953368940261	5.02	
-29.9653368940261	5.04	
-29.9353368940261	5.07	
-29.9053368940261	5.09	
-29.8753368940261	5.13	
-29.8453368940261	5.16	
-29.8153368940261	5.20	
-29.7853368940261	5.24	
-29.7553368940261	5.28	
-29.7253368940261	5.32	
-29.6953368940261	5.37	
-29.6653368940261	5.41	
-29.6353368940261	5.46	
-29.6053368940261	5.49	
-29.5753368940261	5.53	
-29.5453368940261	5.57	
-29.5153368940261	5.60	
-29.4853368940261	5.63	
-29.4553368940261	5.66	
-29.4253368940261	5.69	
-29.3953368940261	5.71	
-29.3653368940261	5.75	
-29.3353368940261	5.80	
-29.3053368940261	5.85	
-29.2753368940261	5.90	
-29.2453368940261	5.95	
-29.2153368940261	5.99	
-29.1853368940261	6.03	
-29.1553368940261	6.07	
-29.1253368940261	6.11	
-29.0953368940261	6.15	
-29.0653368940261	6.19	
