Delivery System	U09	
Energy	10 MV	
Scan Type	Crossline	
Depth	5.00	
Field	21cm x 16cm (Jaws)	
Wedge	Open Field	
Comments	26x26 cr	

	5.00 cm : ScanId=406	
-18.075	2.44	
-17.825	2.56	
-17.575	2.74	
-17.325	2.93	
-17.075	3.21	
-16.825	3.40	
-16.575	3.67	
-16.325	3.98	
-16.075	4.39	
-15.825	4.78	
-15.575	5.26	
-15.325	5.83	
-15.075	6.55	
-14.825	7.55	
-14.575	9.09	
-14.325	11.95	
-14.075	18.59	
-13.825	34.62	
-13.575	60.55	
-13.325	88.19	
-13.075	109.11	
-12.825	120.76	
-12.575	126.90	
-12.325	130.20	
-12.075	132.42	
-11.825	134.33	
-11.575	135.46	
-11.325	136.37	
-11.075	137.00	
-10.825	137.36	
-10.575	137.69	
-10.325	138.26	
-10.075	138.50	
-9.825	138.70	
-9.575	138.90	
-9.325	138.97	
-9.075	139.19	
-8.825	139.62	
-8.575	139.67	
-8.325	140.00	
-8.075	139.89	
-7.825	140.13	
-7.575	140.61	
-7.325	140.43	
-7.075	140.87	
-6.825	141.32	
-6.575	141.42	
-6.325	141.70	
-6.075	141.67	
-5.825	141.90	
-5.575	142.14	
-5.325	142.22	
-5.075	142.38	
-4.825	142.72	
-4.575	142.87	
-4.325	143.06	
-4.075	143.31	
-3.825	143.65	
-3.575	143.95	
-3.325	144.09	
-3.075	144.18	
-2.825	144.42	
-2.575	144.46	
-2.325	144.60	
-2.075	144.76	
-1.825	144.61	
-1.575	144.57	
-1.325	144.76	
-1.075	145.00	
-0.824999999999999	144.77	
-0.574999999999999	144.86	
-0.324999999999999	145.15	
-0.0749999999999993	145.01	
0.175000000000001	145.49	
0.425000000000001	145.11	
0.675000000000001	145.10	
0.925000000000001	145.07	
1.175	144.82	
1.425	144.77	
1.675	144.51	
1.925	144.35	
2.175	144.40	
2.425	144.27	
2.675	144.12	
2.925	143.73	
3.175	143.69	
3.425	143.45	
3.675	143.32	
3.925	142.91	
4.175	142.71	
4.425	142.25	
4.675	142.27	
4.925	141.67	
5.175	141.59	
5.425	141.28	
5.675	141.13	
5.925	141.03	
6.175	140.74	
6.425	140.38	
6.675	140.42	
6.925	140.19	
7.175	139.90	
7.425	139.68	
7.675	139.44	
7.925	139.38	
8.175	138.96	
8.425	138.91	
8.675	138.59	
8.925	138.36	
9.175	138.05	
9.425	137.69	
9.675	137.56	
9.925	137.13	
10.175	136.75	
10.425	136.29	
10.675	135.99	
10.925	135.07	
11.175	134.11	
11.425	132.89	
11.675	130.95	
11.925	127.95	
12.175	123.30	
12.425	114.75	
12.675	100.89	
12.925	81.66	
13.175	59.77	
13.425	38.98	
13.675	23.79	
13.925	15.27	
14.175	11.09	
14.425	8.83	
14.675	7.44	
14.925	6.56	
15.175	5.83	
15.425	5.28	
15.675	4.80	
15.925	4.39	
16.175	4.03	
16.425	3.70	
16.675	3.45	
16.925	3.21	
17.175	2.97	
17.425	2.77	
17.675	2.59	
17.925	2.45	
