Patient Name: Water, Phantom
Patient ID: WP 001
Plan: 16MV
Course: TA
Date: Tuesday, June 02, 2020 2:48:10 PM
Exported by: alanphys

Start: (0.00, -0.13, 0.00)
End:   (0.00, 41.94, 0.00)

	Field 1
0.000000	0.000000
0.025008	3.967796
0.050017	9.862782
0.075025	15.757768
0.100033	21.652755
0.125042	27.547741
0.150050	33.442727
0.175058	39.337713
0.200067	45.232699
0.225075	51.127685
0.250083	57.022671
0.275092	60.476441
0.300100	62.762368
0.325108	65.048296
0.350117	67.334224
0.375125	69.620152
0.400133	71.906080
0.425142	74.192008
0.450150	76.477936
0.475158	78.763864
0.500167	81.049792
0.525175	82.885827
0.550183	84.509902
0.575192	86.133978
0.600200	87.758053
0.625208	89.382129
0.650217	91.006205
0.675225	92.630280
0.700233	94.254356
0.725242	95.878431
0.750250	97.502507
0.775258	98.758437
0.800267	99.843565
0.825275	100.928693
0.850283	102.013821
0.875292	103.098949
0.900300	104.184077
0.925309	105.269206
0.950317	106.354334
0.975325	107.439462
1.000334	108.524590
1.025342	109.365298
1.050350	110.094346
1.075359	110.823393
1.100367	111.552440
1.125375	112.281488
1.150384	113.010535
1.175392	113.739582
1.200400	114.468630
1.225409	115.197677
1.250417	115.926724
1.275425	116.493844
1.300434	116.988128
1.325442	117.482412
1.350450	117.976696
1.375459	118.470980
1.400467	118.965265
1.425475	119.459549
1.450484	119.953833
1.475492	120.448117
1.500500	120.942401
1.525509	121.325698
1.550517	121.659847
1.575525	121.993997
1.600534	122.328146
1.625542	122.662295
1.650550	122.996444
1.675559	123.330593
1.700567	123.664742
1.725575	123.998891
1.750584	124.333040
1.775592	124.587896
1.800600	124.808187
1.825609	125.028477
1.850617	125.248768
1.875625	125.469058
1.900634	125.689349
1.925642	125.909639
1.950650	126.129930
1.975659	126.350220
2.000667	126.570511
2.025675	126.731952
2.050684	126.868142
2.075692	127.004333
2.100700	127.140523
2.125709	127.276713
2.150717	127.412903
2.175725	127.549094
2.200734	127.685284
2.225742	127.821474
2.250750	127.957665
2.275759	128.049587
2.300767	128.122815
2.325775	128.196043
2.350784	128.269271
2.375792	128.342499
2.400800	128.415727
2.425809	128.488955
2.450817	128.562183
2.475825	128.635411
2.500834	128.708639
2.525842	128.749751
2.550850	128.777515
2.575859	128.805280
2.600867	128.833044
2.625875	128.860809
2.650884	128.888573
2.675892	128.916338
2.700900	128.944103
2.725909	128.971867
2.750917	128.999632
2.775926	129.004260
2.800934	128.999427
2.825942	128.994594
2.850951	128.989762
2.875959	128.984929
2.900967	128.980096
2.925976	128.975263
2.950984	128.970430
2.975992	128.965598
3.001001	128.960765
3.026009	128.938149
3.051017	128.908377
3.076026	128.878606
3.101034	128.848835
3.126042	128.819064
3.151051	128.789292
3.176059	128.759521
3.201067	128.729750
3.226076	128.699978
3.251084	128.670207
3.276092	128.626453
3.301101	128.577163
3.326109	128.527873
3.351117	128.478583
3.376126	128.429294
3.401134	128.380004
3.426142	128.330714
3.451151	128.281425
3.476159	128.232135
3.501167	128.182845
3.526176	128.122554
3.551184	128.057978
3.576192	127.993403
3.601201	127.928828
3.626209	127.864252
3.651217	127.799677
3.676226	127.735101
3.701234	127.670526
3.726242	127.605951
3.751251	127.541375
3.776259	127.467637
3.801267	127.390389
3.826276	127.313141
3.851284	127.235893
3.876292	127.158645
3.901301	127.081398
3.926309	127.004150
3.951317	126.926902
3.976326	126.849654
4.001334	126.772406
4.026342	126.688432
4.051351	126.601925
4.076359	126.515418
4.101367	126.428911
4.126376	126.342404
4.151384	126.255897
4.176392	126.169390
4.201401	126.082883
4.226409	125.996376
4.251417	125.909869
4.276426	125.819252
4.301434	125.727112
4.326442	125.634972
4.351451	125.542832
4.376459	125.450692
4.401467	125.358552
4.426476	125.266412
4.451484	125.174272
4.476492	125.082133
4.501501	124.989993
4.526509	124.894315
4.551518	124.797348
4.576526	124.700382
4.601534	124.603416
4.626543	124.506449
4.651551	124.409483
4.676559	124.312517
4.701568	124.215551
4.726576	124.118584
4.751584	124.021618
4.776593	123.918726
4.801601	123.813714
4.826609	123.708702
4.851618	123.603689
4.876626	123.498677
4.901634	123.393664
4.926643	123.288652
4.951651	123.183640
4.976659	123.078627
5.001668	122.973615
5.026676	122.865185
5.051684	122.755552
5.076693	122.645920
5.101701	122.536288
5.126709	122.426656
5.151718	122.317023
5.176726	122.207391
5.201734	122.097759
5.226743	121.988126
5.251751	121.878494
5.276759	121.767356
5.301768	121.655698
5.326776	121.544040
5.351784	121.432381
5.376793	121.320723
5.401801	121.209065
5.426809	121.097406
5.451818	120.985748
5.476826	120.874090
5.501834	120.762431
5.526843	120.650330
5.551851	120.538078
5.576859	120.425826
5.601868	120.313574
5.626876	120.201322
5.651884	120.089070
5.676893	119.976818
5.701901	119.864566
5.726909	119.752314
5.751918	119.640062
5.776926	119.528715
5.801934	119.417669
5.826943	119.306624
5.851951	119.195579
5.876959	119.084533
5.901968	118.973488
5.926976	118.862443
5.951984	118.751397
5.976993	118.640352
6.002001	118.529307
6.027009	118.418864
6.052018	118.308618
6.077026	118.198373
6.102034	118.088128
6.127043	117.977883
6.152051	117.867637
6.177059	117.757392
6.202068	117.647147
6.227076	117.536902
6.252084	117.426656
6.277093	117.314283
6.302101	117.201224
