Patient Name: Water, Phantom
Patient ID: WP001
Plan: QA1-6MV
Course: C1
Date: 06 October 2020 11:41:15 AM
Exported by: alanphys

Start: (-0.42, 4.78, 14.77)
End:   (-0.42, 4.78, -14.77)

	20x20-6MV
0.000000	6.259351
0.020008	6.288248
0.040015	6.317146
0.060023	6.346043
0.080030	6.374941
0.100038	6.403838
0.120046	6.432735
0.140053	6.461633
0.160061	6.490530
0.180069	6.518251
0.200076	6.545519
0.220084	6.572786
0.240091	6.600054
0.260099	6.627321
0.280107	6.654589
0.300114	6.681856
0.320122	6.709124
0.340130	6.736391
0.360137	6.763659
0.380145	6.790772
0.400152	6.817827
0.420160	6.844882
0.440168	6.871938
0.460175	6.898993
0.480183	6.926048
0.500191	6.953103
0.520198	6.980159
0.540206	7.007214
0.560213	7.034269
0.580221	7.061538
0.600229	7.088887
0.620236	7.116235
0.640244	7.143584
0.660252	7.170932
0.680259	7.198280
0.700267	7.225629
0.720274	7.252977
0.740282	7.280326
0.760290	7.307674
0.780297	7.335274
0.800305	7.362965
0.820313	7.390657
0.840320	7.418348
0.860328	7.446039
0.880335	7.473731
0.900343	7.501422
0.920351	7.529113
0.940358	7.556804
0.960366	7.584496
0.980373	7.612811
1.000381	7.641350
1.020389	7.669888
1.040396	7.698427
1.060404	7.726965
1.080412	7.755503
1.100419	7.784042
1.120427	7.812580
1.140434	7.841119
1.160442	7.869657
1.180450	7.898997
1.200457	7.928618
1.220465	7.958238
1.240473	7.987859
1.260480	8.017480
1.280488	8.047100
1.300495	8.076721
1.320503	8.106341
1.340511	8.135962
1.360518	8.165583
1.380526	8.196154
1.400534	8.227051
1.420541	8.257948
1.440549	8.288845
1.460556	8.319742
1.480564	8.350639
1.500572	8.381537
1.520579	8.412434
1.540587	8.443331
1.560595	8.474228
1.580602	8.506053
1.600610	8.538189
1.620617	8.570325
1.640625	8.602462
1.660633	8.634598
1.680640	8.666735
1.700648	8.698871
1.720655	8.731007
1.740663	8.763144
1.760671	8.795280
1.780678	8.828753
1.800686	8.862666
1.820694	8.896579
1.840701	8.930492
1.860709	8.964405
1.880716	8.998318
1.900724	9.032231
1.920732	9.066145
1.940739	9.100058
1.960747	9.133971
1.980755	19.169585
2.000762	9.205749
2.020770	9.241913
2.040777	9.278076
2.060785	9.314240
2.080793	9.350403
2.100800	9.386567
2.120808	9.422731
2.140816	9.458894
2.160823	9.495058
2.180831	9.533146
2.200838	9.571843
2.220846	9.610539
2.240854	9.649236
2.260861	9.687933
2.280869	9.726629
2.300877	9.765326
2.320884	9.804022
2.340892	9.842719
2.360899	9.881416
2.380907	9.923472
2.400915	9.966567
2.420922	10.009662
2.440930	10.052757
2.460938	10.095852
2.480945	10.138948
2.500953	10.182043
2.520960	10.225138
2.540968	10.268233
2.560976	10.311328
2.580983	10.360475
2.600991	10.411453
2.620998	10.462431
2.641006	10.513410
2.661014	10.564388
2.681021	10.615366
2.701029	10.666345
2.721037	10.717323
2.741044	10.768302
2.761052	10.819280
