Patient Name: Water, Phantom
Patient ID: WP001
Plan: QA1-6MV
Course: C1
Date: 06 October 2020 11:40:28 AM
Exported by: alanphys

Start: (-14.63, 4.78, -0.28)
End:   (14.77, 4.78, -0.28)

	20x20-6MV
0.000000	5.373485
0.025013	5.409575
0.050027	5.445665
0.075040	5.481756
0.100053	5.517846
0.125066	5.553936
0.150080	5.590026
0.175093	5.626117
0.200106	5.662207
0.225120	5.698297
0.250133	5.734388
0.275146	5.770657
0.300160	5.806925
0.325173	5.843194
0.350186	5.879462
0.375199	5.915730
0.400213	5.951999
0.425226	5.988267
0.450239	6.024536
0.475253	6.060804
0.500266	6.097079
0.525279	6.133947
0.550293	6.170815
0.575306	6.207683
0.600319	6.244551
0.625332	6.281419
0.650346	6.318288
0.675359	6.355156
0.700372	6.392024
0.725386	6.428892
0.750399	6.465782
0.775412	6.504007
0.800426	6.542231
0.825439	6.580456
0.850452	6.618681
0.875465	6.656905
0.900479	6.695130
0.925492	6.733354
0.950505	6.771579
0.975519	6.809804
1.000532	6.848077
1.025545	6.888575
1.050559	6.929074
1.075572	6.969572
1.100585	7.010071
1.125598	7.050569
1.150612	7.091068
1.175625	7.131566
1.200638	7.172065
1.225652	7.212563
1.250665	7.253128
1.275678	7.296119
1.300691	7.339111
1.325705	7.382102
1.350718	7.425094
1.375731	7.468086
1.400745	7.511077
1.425758	7.554069
1.450771	7.597060
1.475785	7.640052
1.500798	7.683123
1.525811	7.728622
1.550824	7.774121
1.575838	7.819620
1.600851	7.865120
1.625864	7.910619
1.650878	7.956118
1.675891	8.001617
1.700904	8.047116
1.725918	8.092615
1.750931	8.138236
1.775944	8.187010
1.800957	8.235784
1.825971	8.284557
1.850984	8.333331
1.875997	8.382105
1.901011	8.430879
1.926024	8.479653
1.951037	8.528427
1.976051	8.577200
2.001064	18.626164
2.026077	8.679387
2.051090	8.732610
2.076104	8.785833
2.101117	8.839056
2.126130	8.892279
2.151144	8.945502
2.176157	8.998725
2.201170	9.051948
2.226184	9.105171
2.251197	9.158778
2.276210	9.220022
2.301223	9.281266
2.326237	9.342510
2.351250	9.403754
2.376263	9.464999
2.401277	9.526243
2.426290	9.587487
2.451303	9.648731
2.476316	9.709976
2.501330	9.771848
2.526343	9.844916
2.551356	9.917984
2.576370	9.991052
2.601383	10.064119
2.626396	10.137187
2.651410	10.210255
2.676423	10.283323
2.701436	10.356390
2.726449	10.429458
2.751463	10.503711
2.776476	10.597039
2.801489	10.690367
2.826503	10.783696
2.851516	10.877024
2.876529	10.970352
2.901543	11.063681
2.926556	11.157009
2.951569	11.250337
2.976582	11.343666
3.001596	11.439340
3.026609	11.569439
3.051622	11.699538
3.076636	11.829637
3.101649	11.959735
3.126662	12.089834
3.151676	12.219933
3.176689	12.350032
3.201702	12.480131
3.226715	12.610230
3.251729	12.745473
3.276742	12.950008
3.301755	13.154544
3.326769	13.359079
3.351782	13.563615
3.376795	13.768150
3.401809	13.972686
3.426822	14.177221
3.451835	14.381757
3.476848	14.586292
3.501862	14.805393
3.526875	15.205630
3.551888	15.605867
3.576902	16.006104
3.601915	16.406341
3.626928	16.806579
3.651941	17.206816
3.676955	17.607053
3.701968	18.007290
3.726981	18.407527
3.751995	18.872573
3.777008	20.085521
3.802021	21.298470
3.827035	22.511418
3.852048	23.724366
3.877061	24.937314
3.902074	26.150262
3.927088	27.363210
3.952101	28.576158
3.977114	29.789106
4.002128	31.454386
4.027141	37.985058
4.052154	44.515731
4.077168	51.046403
4.102181	57.577076
4.127194	64.107749
4.152207	70.638421
4.177221	77.169094
4.202234	83.699766
4.227247	90.230439
4.252261	96.338946
4.277274	98.198484
4.302287	100.058021
4.327301	101.917559
4.352314	103.777097
4.377327	105.636635
4.402340	107.496172
4.427354	109.355710
4.452367	111.215248
4.477380	113.074786
4.502394	114.805684
4.527407	115.320939
4.552420	115.836194
4.577434	116.351450
4.602447	116.866705
4.627460	117.381960
4.652473	117.897215
4.677487	118.412470
4.702500	118.927726
4.727513	119.442981
4.752527	119.929266
4.777540	120.157716
4.802553	120.386166
4.827566	120.614617
4.852580	120.843067
4.877593	121.071517
4.902606	121.299967
4.927620	121.528418
4.952633	121.756868
4.977646	121.985318
5.002660	122.203594
5.027673	122.336356
5.052686	122.469118
5.077699	122.601880
5.102713	122.734642
5.127726	122.867403
5.152739	123.000165
5.177753	123.132927
5.202766	123.265689
5.227779	123.398451
5.252793	123.526226
5.277806	123.614325
5.302819	123.702423
5.327832	123.790521
5.352846	123.878620
5.377859	123.966718
5.402872	124.054816
5.427886	124.142915
5.452899	124.231013
5.477912	124.319111
5.502926	124.404345
5.527939	124.467953
5.552952	124.531561
5.577965	124.595169
5.602979	124.658777
5.627992	124.722385
5.653005	124.785993
5.678019	124.849601
5.703032	124.913209
5.728045	124.976817
5.753059	125.038957
5.778072	125.090560
5.803085	125.142164
5.828098	125.193767
5.853112	125.245370
5.878125	125.296973
5.903138	125.348577
5.928152	125.400180
5.953165	125.451783
5.978178	125.503386
6.003191	125.554162
6.028205	125.599275
6.053218	125.644389
6.078231	125.689502
6.103245	125.734616
6.128258	125.779730
6.153271	125.824843
6.178285	125.869957
6.203298	125.915070
6.228311	125.960184
6.253324	126.004251
6.278338	126.041492
6.303351	126.078733
6.328364	126.115974
6.353378	126.153215
6.378391	126.190456
6.403404	126.227697
6.428418	126.264938
6.453431	126.302179
6.478444	126.339420
6.503457	126.375425
6.528471	126.403720
6.553484	126.432016
6.578497	126.460311
6.603511	126.488606
6.628524	126.516902
6.653537	126.545197
6.678551	126.573493
6.703564	126.601788
6.728577	126.630084
6.753590	126.657623
6.778604	126.680649
6.803617	126.703674
6.828630	126.726700
6.853644	126.749726
6.878657	126.772751
6.903670	126.795777
6.928684	126.818803
6.953697	126.841829
6.978710	126.864854
7.003723	126.887372
7.028737	126.906983
7.053750	126.926595
7.078763	126.946207
7.103777	126.965818
7.128790	126.985430
7.153803	127.005042
7.178816	127.024653
7.203830	127.044265
7.228843	127.063877
7.253856	127.083080
7.278870	127.100046
7.303883	127.117011
7.328896	127.133976
7.353910	127.150942
7.378923	127.167907
7.403936	127.184873
7.428949	127.201838
7.453963	127.218803
7.478976	127.235769
7.503989	127.252363
7.529003	127.267005
7.554016	127.281646
7.579029	127.296287
7.604043	127.310928
7.629056	127.325569
7.654069	127.340210
7.679082	127.354851
7.704096	127.369493
7.729109	127.384134
7.754122	127.398300
7.779136	127.410062
7.804149	127.421824
7.829162	127.433586
7.854176	127.445348
7.879189	127.457110
7.904202	127.468872
7.929215	127.480633
7.954229	127.492395
7.979242	127.504157
8.004255	127.515750
8.029269	127.526519
8.054282	127.537287
8.079295	127.548056
8.104309	127.558825
8.129322	127.569593
8.154335	127.580362
8.179348	127.591131
8.204362	127.601899
